node,min_value,max_value,jaccard_min_over_max,subject_id
O2,0.3269332283366584,0.4599622185228648,0.7107827886094225,sub-NORB00081
F7,0.5071330964106924,0.5480932097969816,0.9252679787778045,sub-NORB00081
F8,0.4930918341098199,0.564695932004968,0.8731988423558925,sub-NORB00081
T3,0.3789954135707537,0.5439347968552936,0.6967662590477371,sub-NORB00081
T4,0.41410774210466905,0.5154083542355201,0.8034556264011179,sub-NORB00081
T5,0.31628338071324263,0.46964784233589624,0.6734479586665151,sub-NORB00081
T6,0.3836058894384633,0.3990040445053944,0.9614085238508832,sub-NORB00081
FZ,0.5504307576913263,0.589687541998066,0.933427821497256,sub-NORB00081
CZ,0.49693726441583286,0.5730496815147433,0.8671800725938414,sub-NORB00081
PZ,0.48893638233057074,0.5894360048236843,0.8294986704736919,sub-NORB00081
Fp1,0.38039066609927696,0.48015713329471066,0.7922212120210259,sub-NORB00083
Fp2,0.4045663946423475,0.46248207210739,0.8747720593770514,sub-NORB00083
F3,0.42224537735951423,0.4774149816873413,0.8844409864708486,sub-NORB00083
F4,0.42002519405435157,0.4667386370345271,0.8999152003421566,sub-NORB00083
C3,0.40743598284162674,0.4179429897563066,0.9748601910494867,sub-NORB00083
C4,0.34856849219618846,0.4152753808248235,0.8393671002212044,sub-NORB00083
P3,0.37541851769346624,0.39413373778985905,0.9525155593090302,sub-NORB00083
P4,0.3656301433148215,0.40015752918476843,0.9137155161361358,sub-NORB00083
O1,0.3066701250072364,0.32691932645633903,0.9380605555853946,sub-NORB00083
O2,0.3115062149409034,0.31972226456007724,0.9743025415184059,sub-NORB00083
F7,0.3737932335449744,0.43945752838223173,0.8505787463034566,sub-NORB00083
F8,0.3892644647186406,0.410335348249285,0.948649601793888,sub-NORB00083
T3,0.292558812565865,0.2959984131156941,0.9883796655744751,sub-NORB00083
T4,0.2644539443370881,0.28319531544593846,0.9338217474419062,sub-NORB00083
T5,0.28987488568962166,0.3299954859221451,0.8784207604524961,sub-NORB00083
T6,0.29459776800775694,0.303923341358368,0.9693160344021918,sub-NORB00083
FZ,0.4027694192990305,0.4792732789455396,0.8403752869034822,sub-NORB00083
CZ,0.33242008220000185,0.4270247532566209,0.7784562362365764,sub-NORB00083
PZ,0.3996676314930902,0.40596109511855916,0.9844973725286879,sub-NORB00083
Fp1,0.3497640080905392,0.4205140467201478,0.8317534475211175,sub-NORB00084
Fp2,0.35049537056639607,0.42131420772236666,0.831909686742304,sub-NORB00084
F3,0.4082853334760389,0.5002982246221567,0.8160839143180865,sub-NORB00084
F4,0.40114934258244983,0.5265419188080785,0.7618564225437603,sub-NORB00084
C3,0.3363935321959271,0.5257733448383058,0.6398071250633297,sub-NORB00084
C4,0.26258506587474156,0.5373087045656836,0.4887042842289217,sub-NORB00084
P3,0.40175818881947084,0.45412311125490223,0.8846900297790864,sub-NORB00084
P4,0.40345250861881093,0.48967574452484247,0.823917690696119,sub-NORB00084
O1,0.37167669296346645,0.37770684062548765,0.9840348465703317,sub-NORB00084
O2,0.3761736691891871,0.3998437178684796,0.9408017492297371,sub-NORB00084
F7,0.40193241890342735,0.43907349984020005,0.9154103334628709,sub-NORB00084
F8,0.4017784400388434,0.48117107403672754,0.8350012328633367,sub-NORB00084
T3,0.2486457567390427,0.4134021138692904,0.6014622286562851,sub-NORB00084
T4,0.23041194970659026,0.4139726662469451,0.5565873510333258,sub-NORB00084
T5,0.3440777856732998,0.373142033206225,0.9221094249736741,sub-NORB00084
T6,0.41103602168081255,0.4181313996882295,0.9830307458069223,sub-NORB00084
FZ,0.4052148564708979,0.48913477507700487,0.8284319110353677,sub-NORB00084
CZ,0.3203831641712009,0.5221595459722972,0.6135733161300829,sub-NORB00084
PZ,0.39460690049010744,0.499588517048516,0.7898638319819237,sub-NORB00084
Fp1,0.3915723460681001,0.4583772516192819,0.8542578077005696,sub-NORB00085
Fp2,0.4110724310538815,0.45955029495421984,0.8945102104544016,sub-NORB00085
F3,0.42944559732042586,0.46192503999895634,0.9296867676222881,sub-NORB00085
F4,0.4039249830432329,0.46357046027804355,0.8713346031603565,sub-NORB00085
C3,0.3963262698618152,0.43027927908267066,0.9210907639028278,sub-NORB00085
C4,0.3869577059443733,0.41466994204438423,0.9331703765086383,sub-NORB00085
P3,0.39402036506051613,0.4064816931088653,0.9693434458190674,sub-NORB00085
P4,0.36934094371920473,0.42028994983607776,0.8787765300199439,sub-NORB00085
O1,0.30453726638071127,0.3491685564468491,0.8721783813516678,sub-NORB00085
O2,0.31839829076025145,0.3611004686848856,0.8817443298255638,sub-NORB00085
F7,0.3722877871618888,0.4423440362820501,0.8416249720263176,sub-NORB00085
F8,0.40274513879349183,0.4530718775900795,0.888921071278405,sub-NORB00085
T3,0.2773586153889811,0.3156333007274803,0.8787368593545654,sub-NORB00085
T4,0.24939719131350796,0.30427079666710366,0.819655366355675,sub-NORB00085
