source,target,frequency,band
C4,Fp1,211,delta
Fp1,F7,210,delta
Fp2,P3,210,delta
Fp2,T5,210,delta
F3,T5,210,delta
F4,F3,210,delta
F4,T4,210,delta
F4,T5,210,delta
C3,P3,210,delta
C4,T4,210,delta
P3,Fp2,210,delta
P3,F3,210,delta
P3,T5,210,delta
P3,T6,210,delta
P4,F7,210,delta
O1,P4,210,delta
O1,O2,210,delta
O2,C4,210,delta
O2,T5,210,delta
F7,F8,210,delta
F8,F7,210,delta
T3,F3,210,delta
T3,P3,210,delta
T3,T5,210,delta
T4,O2,210,delta
T4,T6,210,delta
T5,F3,210,delta
T5,O2,210,delta
T5,F7,210,delta
T5,F8,210,delta
T5,T4,210,delta
T5,FZ,210,delta
T6,F4,210,delta
T6,PZ,210,delta
FZ,Fp1,210,delta
FZ,C3,210,delta
FZ,T5,210,delta
CZ,F4,210,delta
CZ,T5,210,delta
PZ,Fp1,210,delta
PZ,P3,210,delta
F3,F7,210,delta
F7,F3,210,delta
Fp1,C3,209,delta
Fp1,P3,209,delta
Fp1,FZ,209,delta
Fp2,C3,209,delta
Fp2,F8,209,delta
F4,C3,209,delta
C4,P3,209,delta
C4,P4,209,delta
C4,PZ,209,delta
P3,P4,209,delta
P3,CZ,209,delta
P4,C3,209,delta
O1,C4,209,delta
O2,P3,209,delta
F7,T3,209,delta
F7,FZ,209,delta
F8,P3,209,delta
F8,P4,209,delta
F8,T4,209,delta
F8,T5,209,delta
T3,C3,209,delta
T4,T5,209,delta
T5,T3,209,delta
T6,P4,209,delta
FZ,T4,209,delta
CZ,O1,209,delta
CZ,T6,209,delta
Fp1,F8,208,delta
F3,P3,208,delta
O1,P3,208,delta
O1,T5,208,delta
F7,Fp2,208,delta
F8,C3,208,delta
F8,PZ,208,delta
T5,Fp1,208,delta
T5,Fp2,208,delta
FZ,F8,208,delta
PZ,F8,208,delta
F3,O1,207,delta
P4,C4,207,delta
T5,F4,207,delta
T6,P3,207,delta
T6,F8,207,delta
C3,T5,206,delta
F7,Fp1,206,delta
F4,P3,205,delta
FZ,P3,205,delta
Fp1,T5,211,gamma
Fp2,T5,211,gamma
F7,F3,211,gamma
Fp1,C4,210,gamma
Fp1,T6,210,gamma
Fp2,F3,210,gamma
Fp2,T6,210,gamma
Fp2,FZ,210,gamma
F3,P3,210,gamma
F3,F7,210,gamma
Fp1,C3,209,gamma
FZ,Fp1,209,gamma
FZ,Fp2,209,gamma
Fp1,P3,208,gamma
Fp1,T4,208,gamma
Fp2,C4,208,gamma
Fp2,P3,208,gamma
Fp2,T3,208,gamma
Fp1,F7,207,gamma
Fp1,T3,207,gamma
Fp1,FZ,207,gamma
Fp2,T4,207,gamma
F3,Fp2,207,gamma
F3,C4,207,gamma
F3,T4,207,gamma
F3,T6,207,gamma
Fp1,PZ,206,gamma
Fp2,C3,206,gamma
Fp2,F7,206,gamma
F3,T3,206,gamma
CZ,C3,206,gamma
Fp1,F4,205,gamma
F8,F4,205,gamma
FZ,F4,205,gamma
Fp1,F3,204,gamma
Fp1,O1,204,gamma
F3,F4,204,gamma
P3,T5,204,gamma
F8,FZ,204,gamma
FZ,F8,204,gamma
CZ,FZ,204,gamma
Fp2,O1,203,gamma
F3,T5,203,gamma
C3,T5,203,gamma
T4,F8,203,gamma
T4,T5,203,gamma
CZ,F3,203,gamma
Fp2,F4,203,gamma
Fp2,O2,202,gamma
F3,F8,202,gamma
F4,F8,202,gamma
Fp1,O2,201,gamma
Fp2,PZ,201,gamma
F3,C3,201,gamma
F3,FZ,201,gamma
F3,PZ,201,gamma
T6,C4,201,gamma
FZ,F7,201,gamma
F3,O1,200,gamma
C4,F8,200,gamma
F7,FZ,200,gamma
T5,F7,200,gamma
T6,T5,200,gamma
FZ,O2,200,gamma
CZ,P3,200,gamma
Fp1,F8,199,gamma
F3,O2,199,gamma
F4,Fp2,199,gamma
F4,FZ,199,gamma
O2,F8,199,gamma
T3,F8,199,gamma
T6,F8,199,gamma
CZ,PZ,199,gamma
Fp1,Fp2,198,gamma
Fp1,P4,198,gamma
Fp2,F8,198,gamma
F3,Fp1,198,gamma
C3,T6,198,gamma
P3,F7,198,gamma
T3,F7,198,gamma
T6,P4,198,gamma
CZ,Fp2,198,gamma
PZ,F7,198,gamma
F3,P4,198,gamma
Fp2,P4,197,gamma
C3,F7,197,gamma
C4,T5,197,gamma
P3,T3,197,gamma
F8,Fp2,197,gamma
T5,F8,197,gamma
T6,F4,197,gamma
CZ,C4,197,gamma
Fp2,Fp1,196,gamma
C3,F8,196,gamma
C3,T3,196,gamma
C3,PZ,196,gamma
FZ,T6,196,gamma
P3,T4,196,gamma
T4,P4,196,gamma
F8,F3,195,gamma
T5,T4,195,gamma
FZ,O1,195,gamma
F4,Fp1,194,gamma
P3,F8,194,gamma
T4,F7,194,gamma
FZ,P4,194,gamma
CZ,Fp1,194,gamma
CZ,F7,194,gamma
PZ,F8,194,gamma
F4,F3,193,gamma
C3,O1,193,gamma
C3,T4,193,gamma
O1,F8,193,gamma
T3,T5,193,gamma
FZ,T5,193,gamma
CZ,F4,193,gamma
O2,F7,193,gamma
FZ,T4,193,gamma
F7,Fp2,192,gamma
FZ,F3,192,gamma
FZ,T3,192,gamma
