segment_index,node_index,betweenness,subject_id,session_id
8,1,0.032679738562091505,sub-NORB00069,ses-4
8,2,0.0,sub-NORB00069,ses-4
8,3,0.10457516339869281,sub-NORB00069,ses-4
8,4,0.07189542483660132,sub-NORB00069,ses-4
8,5,0.026143790849673203,sub-NORB00069,ses-4
8,6,0.09803921568627451,sub-NORB00069,ses-4
8,7,0.013071895424836602,sub-NORB00069,ses-4
8,8,0.0,sub-NORB00069,ses-4
8,9,0.06535947712418301,sub-NORB00069,ses-4
8,10,0.0196078431372549,sub-NORB00069,ses-4
8,11,0.0,sub-NORB00069,ses-4
8,12,0.0,sub-NORB00069,ses-4
8,13,0.026143790849673203,sub-NORB00069,ses-4
8,14,0.0,sub-NORB00069,ses-4
8,15,0.026143790849673203,sub-NORB00069,ses-4
8,16,0.026143790849673203,sub-NORB00069,ses-4
8,17,0.09150326797385622,sub-NORB00069,ses-4
8,18,0.058823529411764705,sub-NORB00069,ses-4
9,0,0.0,sub-NORB00069,ses-4
9,1,0.0,sub-NORB00069,ses-4
9,2,0.0,sub-NORB00069,ses-4
9,3,0.09150326797385622,sub-NORB00069,ses-4
9,4,0.0196078431372549,sub-NORB00069,ses-4
9,5,0.04575163398692811,sub-NORB00069,ses-4
9,6,0.058823529411764705,sub-NORB00069,ses-4
9,7,0.026143790849673203,sub-NORB00069,ses-4
9,8,0.0,sub-NORB00069,ses-4
9,9,0.013071895424836602,sub-NORB00069,ses-4
9,10,0.006535947712418301,sub-NORB00069,ses-4
9,11,0.0,sub-NORB00069,ses-4
9,12,0.026143790849673203,sub-NORB00069,ses-4
9,13,0.058823529411764705,sub-NORB00069,ses-4
9,14,0.0,sub-NORB00069,ses-4
9,15,0.0196078431372549,sub-NORB00069,ses-4
9,16,0.0,sub-NORB00069,ses-4
9,17,0.0,sub-NORB00069,ses-4
9,18,0.006535947712418301,sub-NORB00069,ses-4
10,0,0.0,sub-NORB00069,ses-4
10,1,0.0,sub-NORB00069,ses-4
10,2,0.0,sub-NORB00069,ses-4
10,3,0.16993464052287582,sub-NORB00069,ses-4
10,4,0.0,sub-NORB00069,ses-4
10,5,0.026143790849673203,sub-NORB00069,ses-4
10,6,0.0196078431372549,sub-NORB00069,ses-4
10,7,0.013071895424836602,sub-NORB00069,ses-4
10,8,0.006535947712418301,sub-NORB00069,ses-4
10,9,0.0196078431372549,sub-NORB00069,ses-4
10,10,0.0,sub-NORB00069,ses-4
10,11,0.032679738562091505,sub-NORB00069,ses-4
10,12,0.0196078431372549,sub-NORB00069,ses-4
10,13,0.0,sub-NORB00069,ses-4
10,14,0.0,sub-NORB00069,ses-4
10,15,0.0,sub-NORB00069,ses-4
10,16,0.032679738562091505,sub-NORB00069,ses-4
10,17,0.026143790849673203,sub-NORB00069,ses-4
10,18,0.10457516339869281,sub-NORB00069,ses-4
11,0,0.0,sub-NORB00069,ses-4
11,1,0.006535947712418301,sub-NORB00069,ses-4
11,2,0.0,sub-NORB00069,ses-4
11,3,0.1568627450980392,sub-NORB00069,ses-4
11,4,0.05228758169934641,sub-NORB00069,ses-4
11,5,0.06535947712418301,sub-NORB00069,ses-4
11,6,0.0392156862745098,sub-NORB00069,ses-4
11,7,0.058823529411764705,sub-NORB00069,ses-4
11,8,0.0,sub-NORB00069,ses-4
11,9,0.0,sub-NORB00069,ses-4
11,10,0.032679738562091505,sub-NORB00069,ses-4
11,11,0.0392156862745098,sub-NORB00069,ses-4
11,12,0.006535947712418301,sub-NORB00069,ses-4
11,13,0.006535947712418301,sub-NORB00069,ses-4
11,14,0.0,sub-NORB00069,ses-4
11,15,0.006535947712418301,sub-NORB00069,ses-4
11,16,0.0196078431372549,sub-NORB00069,ses-4
11,17,0.013071895424836602,sub-NORB00069,ses-4
11,18,0.04575163398692811,sub-NORB00069,ses-4
12,0,0.006535947712418301,sub-NORB00069,ses-4
12,1,0.09150326797385622,sub-NORB00069,ses-4
12,2,0.0,sub-NORB00069,ses-4
12,3,0.006535947712418301,sub-NORB00069,ses-4
12,4,0.13725490196078433,sub-NORB00069,ses-4
12,5,0.058823529411764705,sub-NORB00069,ses-4
12,6,0.0,sub-NORB00069,ses-4
12,7,0.032679738562091505,sub-NORB00069,ses-4
12,8,0.0,sub-NORB00069,ses-4
12,9,0.006535947712418301,sub-NORB00069,ses-4
12,10,0.0196078431372549,sub-NORB00069,ses-4
12,11,0.08496732026143791,sub-NORB00069,ses-4
12,12,0.0,sub-NORB00069,ses-4
12,13,0.0,sub-NORB00069,ses-4
12,14,0.0,sub-NORB00069,ses-4
12,15,0.032679738562091505,sub-NORB00069,ses-4
12,16,0.0,sub-NORB00069,ses-4
12,17,0.0,sub-NORB00069,ses-4
12,18,0.0,sub-NORB00069,ses-4
13,0,0.0,sub-NORB00069,ses-4
13,1,0.0,sub-NORB00069,ses-4
13,2,0.0,sub-NORB00069,ses-4
13,3,0.0392156862745098,sub-NORB00069,ses-4
13,4,0.0392156862745098,sub-NORB00069,ses-4
13,5,0.04575163398692811,sub-NORB00069,ses-4
13,6,0.0784313725490196,sub-NORB00069,ses-4
13,7,0.026143790849673203,sub-NORB00069,ses-4
13,8,0.0784313725490196,sub-NORB00069,ses-4
13,9,0.013071895424836602,sub-NORB00069,ses-4
13,10,0.07189542483660132,sub-NORB00069,ses-4
13,11,0.0392156862745098,sub-NORB00069,ses-4
13,12,0.058823529411764705,sub-NORB00069,ses-4
13,13,0.006535947712418301,sub-NORB00069,ses-4
13,14,0.0,sub-NORB00069,ses-4
13,15,0.032679738562091505,sub-NORB00069,ses-4
13,16,0.058823529411764705,sub-NORB00069,ses-4
13,17,0.0,sub-NORB00069,ses-4
13,18,0.026143790849673203,sub-NORB00069,ses-4
14,0,0.013071895424836602,sub-NORB00069,ses-4
14,1,0.06535947712418301,sub-NORB00069,ses-4
14,2,0.0,sub-NORB00069,ses-4
14,3,0.013071895424836602,sub-NORB00069,ses-4
14,4,0.07189542483660132,sub-NORB00069,ses-4
14,5,0.013071895424836602,sub-NORB00069,ses-4
14,6,0.032679738562091505,sub-NORB00069,ses-4
14,7,0.0,sub-NORB00069,ses-4
14,8,0.0,sub-NORB00069,ses-4
14,9,0.0392156862745098,sub-NORB00069,ses-4
14,10,0.11111111111111112,sub-NORB00069,ses-4
14,11,0.006535947712418301,sub-NORB00069,ses-4
14,12,0.013071895424836602,sub-NORB00069,ses-4
14,13,0.006535947712418301,sub-NORB00069,ses-4
14,14,0.0,sub-NORB00069,ses-4
14,15,0.06535947712418301,sub-NORB00069,ses-4
14,16,0.013071895424836602,sub-NORB00069,ses-4
14,17,0.026143790849673203,sub-NORB00069,ses-4
14,18,0.08496732026143791,sub-NORB00069,ses-4
