edge,min_value,max_value,jaccard_min_over_max,subject_id
Fp2-F7,3.5459895019043226,7.191142221782018,0.4931051830908721,sub-NORB00064
Fp2-F8,6.371340349917906,8.16715173941804,0.7801177880860461,sub-NORB00064
Fp2-T3,0.8524609236126381,2.409558973572021,0.3537829673240651,sub-NORB00064
Fp2-T4,1.0685434350258496,4.932410701552696,0.21663715770657094,sub-NORB00064
Fp2-T5,0.8582875733213041,1.2402194474701873,0.6920449240431185,sub-NORB00064
Fp2-T6,0.530763606940082,1.7866571440844905,0.29707076631764906,sub-NORB00064
Fp2-FZ,7.981672713289965,12.697868308297405,0.6285836740072624,sub-NORB00064
Fp2-CZ,3.268209432959909,4.47886305944632,0.7296962174512044,sub-NORB00064
Fp2-PZ,1.890116332912327,4.434975089546632,0.4261842050403817,sub-NORB00064
F3-F4,8.530674332020663,10.610312994184264,0.8039983680685485,sub-NORB00064
F3-C3,4.902080080526047,6.8646382260190695,0.7141061071427873,sub-NORB00064
F3-C4,4.932105680852055,5.694342232530657,0.8661414223886835,sub-NORB00064
F3-P3,1.8465965724194333,3.5490800378852976,0.520302882072989,sub-NORB00064
F3-P4,1.8843516748646343,3.9766556891433877,0.47385336377224624,sub-NORB00064
F3-O1,0.7256099306509666,1.4160515038613672,0.5124177536426701,sub-NORB00064
F3-O2,0.5345939473836465,1.2331549379427265,0.43351725799801777,sub-NORB00064
F3-F7,3.573813286898336,7.842348302802884,0.45570703428474885,sub-NORB00064
F3-F8,5.907711966342569,8.856476121474449,0.6670499513929743,sub-NORB00064
F3-T3,0.918847828768934,2.4968788201919216,0.3679985673867453,sub-NORB00064
F3-T4,1.0552858267457093,4.491400385458812,0.23495697024969378,sub-NORB00064
F3-T5,0.8209601453399118,1.0696335141971258,0.767515354037995,sub-NORB00064
F3-T6,0.6568324192999997,1.7242094968492356,0.38094699078057154,sub-NORB00064
F3-FZ,10.03546834522909,13.874904399606521,0.7232819813528722,sub-NORB00064
F3-CZ,3.6719788303537433,5.815533856186135,0.6314087272396779,sub-NORB00064
F3-PZ,2.891041876130413,3.7995609019835483,0.7608884159801608,sub-NORB00064
F4-C3,5.048650544975843,5.693745234912139,0.8867011671016133,sub-NORB00064
F4-C4,6.22632685654453,7.1202666054570924,0.874451365595295,sub-NORB00064
F4-P3,1.7286107015740582,3.200704700391357,0.5400719102148652,sub-NORB00064
F4-P4,1.8836439209247666,4.291556656318793,0.43891857239058724,sub-NORB00064
F4-O1,0.624878502915668,1.221076464317867,0.5117439580368502,sub-NORB00064
F4-O2,0.5218107203705277,1.1978263074201885,0.4356313742134905,sub-NORB00064
F4-F7,3.2461355837633317,8.180464563477576,0.39681555473707414,sub-NORB00064
F4-F8,6.284838757387586,8.680954279385581,0.7239801702805896,sub-NORB00064
F4-T3,0.8629482264559415,2.463652749259694,0.3502718582053619,sub-NORB00064
F4-T4,1.2211773205573937,4.15262704587024,0.2940734400340253,sub-NORB00064
F4-T5,0.7255876958761144,1.072792293193635,0.6763543143249898,sub-NORB00064
F4-T6,0.5818083914402009,1.575856865139371,0.36920129252268413,sub-NORB00064
F4-FZ,9.15351023321498,10.856607626426989,0.8431280330085473,sub-NORB00064
F4-CZ,3.6173560723850366,5.475223961406715,0.6606772796661367,sub-NORB00064
F4-PZ,2.688143925316271,4.4020303278252815,0.6106600193834386,sub-NORB00064
C3-C4,5.5192860086541415,6.000261067127672,0.9198409780686803,sub-NORB00064
C3-P3,4.915241285173995,5.880444207628729,0.835862242991342,sub-NORB00064
C3-P4,3.185435703175114,3.558492005971688,0.8951644960363747,sub-NORB00064
C3-O1,1.0216870874033674,1.3982933341627541,0.7306672086905968,sub-NORB00064
C3-O2,0.8915004567621881,1.446810415524484,0.6161833279580101,sub-NORB00064
C3-F7,2.6247432635484103,5.669520507785296,0.46295683381763136,sub-NORB00064
C3-F8,3.181604722290296,5.948346069052766,0.5348721620019907,sub-NORB00064
C3-T3,2.0144242080976342,3.5028537135579767,0.575080883423907,sub-NORB00064
C3-T4,1.4365170595008168,3.8166937118943474,0.3763773485475279,sub-NORB00064
C3-T5,0.9236030185298427,1.8675897686919036,0.4945427705875431,sub-NORB00064
C3-T6,0.9715344086437755,1.4601030780014024,0.6653875491952372,sub-NORB00064
C3-FZ,4.752408323565058,5.8713690460126005,0.8094208158815264,sub-NORB00064
C3-CZ,4.431082508377855,4.909102106832438,0.9026258594643448,sub-NORB00064
C3-PZ,5.429067476599007,6.57952446644942,0.8251458755542487,sub-NORB00064
C4-P3,3.700998119805592,4.0154533508983565,0.9216887350907929,sub-NORB00064
C4-P4,4.093472622487395,5.735502597819439,0.7137077444692779,sub-NORB00064
C4-O1,0.897308285779596,1.2692658201546958,0.7069506414899235,sub-NORB00064
C4-O2,0.882244041712543,1.8149215145661042,0.48610589198038257,sub-NORB00064
C4-F7,2.175180859451093,5.027927703877962,0.43261975659940577,sub-NORB00064
