subject_id,session_left,session_right,edge,left_value,right_value,jaccard_min_over_max
sub-NORB00064,ses-1,ses-2,T6-CZ,0.9678292416624715,1.3266061997995282,0.729552780477527
sub-NORB00064,ses-1,ses-2,T6-PZ,2.2251452585601688,2.7242151530886,0.8168023204912406
sub-NORB00064,ses-1,ses-2,FZ-CZ,4.242437218058561,4.564057329936995,0.9295319737180265
sub-NORB00064,ses-1,ses-2,FZ-PZ,3.104434850200787,3.724312968756326,0.8335590688119486
sub-NORB00064,ses-1,ses-2,CZ-PZ,5.062014884984139,4.808051040018587,0.9498294946309018
sub-NORB00064,ses-2,ses-3,Fp1-Fp2,10.179489171474643,10.351965159909527,0.9833388167588856
sub-NORB00064,ses-2,ses-3,Fp1-F3,10.051337018484265,9.40049668268706,0.9352483819216966
sub-NORB00064,ses-2,ses-3,Fp1-F4,8.460082655375276,7.031643698071539,0.8311554371875847
sub-NORB00064,ses-2,ses-3,Fp1-C3,6.395101954912734,4.252823060764269,0.6650125503467915
sub-NORB00064,ses-2,ses-3,Fp1-C4,4.892195566245694,3.817983413676862,0.7804233011491832
sub-NORB00064,ses-2,ses-3,Fp1-P3,3.2465695169085906,1.4275996365623398,0.4397255716001768
sub-NORB00064,ses-2,ses-3,Fp1-P4,3.5573027616400337,1.5324714733312648,0.43079590802800966
sub-NORB00064,ses-2,ses-3,Fp1-O1,0.885044419998259,0.7316862181975268,0.8267225934252724
sub-NORB00064,ses-2,ses-3,Fp1-O2,1.3197960755134641,0.7760086318432657,0.5879761625608418
sub-NORB00064,ses-2,ses-3,Fp1-F7,6.948129099015749,9.24526305395571,0.7515339540331303
sub-NORB00064,ses-2,ses-3,Fp1-F8,8.047213108372015,7.465607394328636,0.927725821820439
sub-NORB00064,ses-2,ses-3,Fp1-T3,2.9914562314194577,2.908542806211163,0.9722832564496683
sub-NORB00064,ses-2,ses-3,Fp1-T4,4.395217718421373,2.333024890397868,0.5308098574092522
sub-NORB00064,ses-2,ses-3,Fp1-T5,0.9813197110152162,0.7304732624931097,0.744378467377777
sub-NORB00064,ses-2,ses-3,Fp1-T6,1.6953927539567626,0.5378626057261036,0.317249560298534
sub-NORB00064,ses-2,ses-3,Fp1-FZ,8.704509502854403,9.250269827674897,0.9410006048485535
sub-NORB00064,ses-2,ses-3,Fp1-CZ,3.149777356909794,5.262542016422689,0.5985277356608953
sub-NORB00064,ses-2,ses-3,Fp1-PZ,4.011938588382099,2.5176915728958593,0.6275498783023926
sub-NORB00064,ses-2,ses-3,Fp2-F3,9.059134555846578,8.572744058003904,0.9463093858641533
sub-NORB00064,ses-2,ses-3,Fp2-F4,7.993662155983129,6.836241113354441,0.8552076607637994
sub-NORB00064,ses-2,ses-3,Fp2-C3,5.338035351852973,3.473181839349668,0.6506479651064946
sub-NORB00064,ses-2,ses-3,Fp2-C4,4.727660398637144,3.56074643976964,0.7531730580301635
sub-NORB00064,ses-2,ses-3,Fp2-P3,2.9627377160316444,1.3272308246413085,0.4479744587107867
sub-NORB00064,ses-2,ses-3,Fp2-P4,3.803381280806788,1.4233461474757743,0.3742317801947662
sub-NORB00064,ses-2,ses-3,Fp2-O1,1.131334316624088,0.9219798537815995,0.814949074056903
sub-NORB00064,ses-2,ses-3,Fp2-O2,1.388100344062156,0.726313885180056,0.5232430697730115
sub-NORB00064,ses-2,ses-3,Fp2-F7,6.307401655991979,7.191142221782018,0.8771070660912279
sub-NORB00064,ses-2,ses-3,Fp2-F8,8.16715173941804,7.4576956361411755,0.9131329836994778
sub-NORB00064,ses-2,ses-3,Fp2-T3,2.409558973572021,2.2587248363587027,0.9374017656892141
sub-NORB00064,ses-2,ses-3,Fp2-T4,4.932410701552696,2.615459536977976,0.5302598861353219
sub-NORB00064,ses-2,ses-3,Fp2-T5,1.2402194474701873,0.9138278485175636,0.7368275432074536
sub-NORB00064,ses-2,ses-3,Fp2-T6,1.7866571440844905,0.530763606940082,0.29707076631764906
sub-NORB00064,ses-2,ses-3,Fp2-FZ,7.981672713289965,9.069708455826047,0.8800363046028048
sub-NORB00064,ses-2,ses-3,Fp2-CZ,3.268209432959909,4.47886305944632,0.7296962174512044
sub-NORB00064,ses-2,ses-3,Fp2-PZ,4.434975089546632,1.890116332912327,0.4261842050403817
sub-NORB00064,ses-2,ses-3,F3-F4,9.841517566769124,8.530674332020663,0.8668047660480072
sub-NORB00064,ses-2,ses-3,F3-C3,6.8646382260190695,4.902080080526047,0.7141061071427873
sub-NORB00064,ses-2,ses-3,F3-C4,5.694342232530657,4.932105680852055,0.8661414223886835
sub-NORB00064,ses-2,ses-3,F3-P3,3.5490800378852976,1.8465965724194333,0.520302882072989
sub-NORB00064,ses-2,ses-3,F3-P4,3.9766556891433877,1.9190958660267896,0.4825904015945073
sub-NORB00064,ses-2,ses-3,F3-O1,0.8485788858815676,0.7256099306509666,0.8550883632900533
sub-NORB00064,ses-2,ses-3,F3-O2,1.2331549379427265,0.7012605968950884,0.5686719286588611
sub-NORB00064,ses-2,ses-3,F3-F7,6.177653843890325,7.842348302802884,0.7877301039641925
sub-NORB00064,ses-2,ses-3,F3-F8,8.856476121474449,6.579598341013662,0.7429138012420083
sub-NORB00064,ses-2,ses-3,F3-T3,2.13298093247965,2.4968788201919216,0.8542588912327347
sub-NORB00064,ses-2,ses-3,F3-T4,4.491400385458812,2.147460236738359,0.4781270989980975
sub-NORB00064,ses-2,ses-3,F3-T5,1.0696335141971258,0.8209601453399118,0.767515354037995
sub-NORB00064,ses-2,ses-3,F3-T6,1.7242094968492356,0.6568324192999997,0.38094699078057154
sub-NORB00064,ses-2,ses-3,F3-FZ,11.4767090280897,10.03546834522909,0.8744203865992317
sub-NORB00064,ses-2,ses-3,F3-CZ,3.6719788303537433,5.815533856186135,0.6314087272396779
sub-NORB00064,ses-2,ses-3,F3-PZ,3.7995609019835483,2.891041876130413,0.7608884159801608
sub-NORB00064,ses-2,ses-3,F4-C3,5.693745234912139,5.089410300274243,0.8938598567894613
sub-NORB00064,ses-2,ses-3,F4-C4,7.1202666054570924,6.22632685654453,0.874451365595295
sub-NORB00064,ses-2,ses-3,F4-P3,3.200704700391357,1.7286107015740582,0.5400719102148652
sub-NORB00064,ses-2,ses-3,F4-P4,4.291556656318793,1.8836439209247666,0.43891857239058724
sub-NORB00064,ses-2,ses-3,F4-O1,0.9406459992838629,0.624878502915668,0.6643078303542497
sub-NORB00064,ses-2,ses-3,F4-O2,1.1978263074201885,0.6498502078409804,0.5425245745692391
sub-NORB00064,ses-2,ses-3,F4-F7,5.319443679745627,8.180464563477576,0.650261808295676
sub-NORB00064,ses-2,ses-3,F4-F8,8.680954279385581,8.481200076792557,0.9769893728080824
sub-NORB00064,ses-2,ses-3,F4-T3,1.867511932478121,2.463652749259694,0.7580256320779347
