Source,Target,F-statistic,p-value
P4,C4,19.596181379786653,3.123885600656531e-09
O1,C4,19.560928054155383,3.235837697528278e-09
T4,C4,19.192211705074868,4.676538061633605e-09
P4,O1,19.115375367166532,5.049567276917924e-09
T4,PZ,19.042032039780498,1.2827067498576086e-05
T4,P3,18.909167162794244,1.3751555945949772e-05
C4,T5,18.588063210012432,8.550536318844037e-09
C4,T6,18.573100911662742,1.639994285922246e-05
PZ,T4,18.516339255044944,1.6895363133490363e-05
P3,T5,18.38002942795093,1.0525361056401531e-08
F3,PZ,18.227732085634884,1.2254717439633594e-08
P4,T5,18.05301073504373,1.4591430396939964e-08
O2,C4,17.894475687969383,1.7095093859515286e-08
PZ,O1,17.841755076968546,1.8019478311719114e-08
FZ,O2,17.42421304381853,2.734505159251882e-08
F4,F8,17.015673530786543,4.1125805029631947e-08
C3,T6,17.013211056503277,4.122709319181758e-08
T6,FZ,16.952029532090954,4.382534408641637e-08
C4,PZ,16.913136099858665,4.556156956622151e-08
O2,FZ,16.846717582221306,4.8687050608562786e-08
P3,T6,16.773156485070487,4.22285317245193e-05
C4,O1,16.75207068436609,5.351493095306607e-08
FZ,P4,16.682250223847497,5.738071486669626e-08
T5,T4,16.146338131046964,9.801014723455689e-08
T4,F4,15.691759283881154,1.5434616979446688e-07
P4,T4,15.212720740565882,2.49080013848807e-07
T3,C3,15.132298150674787,2.699186366411643e-07
CZ,T5,15.064823119200216,2.8874154266004345e-07
F7,T5,14.871302403175271,0.00011532599548226515
FZ,T5,14.792947589633382,3.7885517485131926e-07
CZ,T6,14.763592750714164,0.00012210102576337337
F7,F8,14.707467807542152,4.126315410474292e-07
T4,C3,14.209782332290384,6.784366349173219e-07
P3,T3,14.011902409913626,8.267452506373919e-07
CZ,O2,13.951297428430882,0.00018793362218393308
FZ,P3,13.830898992586125,9.906315195062265e-07
F3,T5,13.657642922193245,1.1778546552660411e-06
O2,T4,13.60254449983393,1.2445153907428547e-06
F7,P3,13.46402481532167,1.4292485312899982e-06
C4,T4,13.259952827735843,0.00027156407132596626
C3,O2,13.082708922132067,0.0002984924491657473
