node,min_value,max_value,jaccard_min_over_max,subject_id
C3,0.16504278910836595,0.18531433594596056,0.8906099372500464,sub-NORB00080
C4,0.1731696088823657,0.17818082925533357,0.9718756479363626,sub-NORB00080
P3,0.18083220579541748,0.20963379858065304,0.8626099752032369,sub-NORB00080
P4,0.16948482134363446,0.1980510841387806,0.8557631586852166,sub-NORB00080
O1,0.17337364865323984,0.2470382151728666,0.7018090238869339,sub-NORB00080
O2,0.1815004047245325,0.24242571821867553,0.7486846117572951,sub-NORB00080
F7,0.17424020719517833,0.18400462751448451,0.9469338328540811,sub-NORB00080
F8,0.17681183239562953,0.1813173462204895,0.9751512256340821,sub-NORB00080
T3,0.17294105418637204,0.18358064667600715,0.9420440406857677,sub-NORB00080
T4,0.17110739299643943,0.18413253033964158,0.9292621606884094,sub-NORB00080
T5,0.18984267767109703,0.19960806361002814,0.9510771971717052,sub-NORB00080
T6,0.1690287842805501,0.20572014557274748,0.8216442964783803,sub-NORB00080
FZ,0.17647836995814306,0.21025954311173378,0.8393358386799161,sub-NORB00080
CZ,0.1640007933110459,0.18087890836514514,0.9066883186843049,sub-NORB00080
PZ,0.18784134033893235,0.21397832780011372,0.8778521744239582,sub-NORB00080
Fp1,0.17553530092592592,0.18683448115842968,0.9395230464823974,sub-NORB00081
Fp2,0.17296006944444448,0.19447656031531585,0.889362035013446,sub-NORB00081
F3,0.1981213590281063,0.19816984953703703,0.9997553083425958,sub-NORB00081
F4,0.1625072337962963,0.19495832395881152,0.833548578467616,sub-NORB00081
C3,0.18701533564814815,0.1942881448440845,0.9625668915528904,sub-NORB00081
C4,0.18119212962962966,0.1978467748421252,0.9158204867085381,sub-NORB00081
P3,0.14602864583333333,0.17259100007044634,0.8460965274766873,sub-NORB00081
P4,0.17276475694444446,0.22434527984348396,0.7700842070979831,sub-NORB00081
O1,0.16933593750000003,0.201169179369657,0.841758852079612,sub-NORB00081
O2,0.1681568287037037,0.2535336553910409,0.6632524918411515,sub-NORB00081
F7,0.16707899305555554,0.17808781411386812,0.9381831872489961,sub-NORB00081
F8,0.16373697916666666,0.2013178375633189,0.8133257397778663,sub-NORB00081
T3,0.16224681712962966,0.18824225767231925,0.8619043308121555,sub-NORB00081
T4,0.1873046875,0.19221859760027604,0.974435823788005,sub-NORB00081
T5,0.15340711805555557,0.20342240471843293,0.7541308847857442,sub-NORB00081
T6,0.18641493055555555,0.1902004775643354,0.980097068854628,sub-NORB00081
FZ,0.19811921296296298,0.2017126092204644,0.9821855645445844,sub-NORB00081
CZ,0.18898292824074078,0.20386391572234003,0.9270052896370982,sub-NORB00081
PZ,0.16481481481481478,0.19235022297735632,0.8568475370793667,sub-NORB00081
Fp1,0.1774668962114865,0.21380928540245286,0.8300242708236028,sub-NORB00083
Fp2,0.17227542938058457,0.20350934301900586,0.8465234412579066,sub-NORB00083
F3,0.18829654249918776,0.2058124301613024,0.9148939272113602,sub-NORB00083
F4,0.17888964118515993,0.19228517740145115,0.9303350554768757,sub-NORB00083
C3,0.16535354535955277,0.1659717040116688,0.9962755178312047,sub-NORB00083
C4,0.161578593944643,0.16953472941371564,0.9530707631611144,sub-NORB00083
P3,0.17529585555055271,0.18348401627138833,0.9553739835914392,sub-NORB00083
P4,0.18422489872685183,0.18780822219557883,0.9809203056882386,sub-NORB00083
O1,0.17977258802460766,0.19394094472533568,0.9269449949272258,sub-NORB00083
O2,0.1803794882683969,0.19663804029266843,0.9173173613809773,sub-NORB00083
F7,0.17253066727379524,0.19415144396726772,0.8886396297051617,sub-NORB00083
F8,0.15615338747684285,0.18278458008447043,0.8543028487669995,sub-NORB00083
T3,0.1705620146251084,0.19490981867283952,0.875081695660497,sub-NORB00083
T4,0.17032707361889818,0.1751439038979586,0.9724978707687891,sub-NORB00083
T5,0.19232201557179934,0.21105219374390835,0.9112533357751482,sub-NORB00083
T6,0.18295712077072307,0.1916929684961826,0.9544279177583215,sub-NORB00083
FZ,0.1818459844393004,0.21486751779460414,0.846316773729989,sub-NORB00083
CZ,0.1634865376857963,0.1682149423157624,0.9718906979078574,sub-NORB00083
PZ,0.18242999715724495,0.18444162150388949,0.9890934360138331,sub-NORB00083
Fp1,0.15887044270833334,0.1881212604234351,0.8445108349302881,sub-NORB00084
Fp2,0.15319010416666667,0.18289515987112845,0.8375842437525818,sub-NORB00084
F3,0.16609700520833334,0.2079944165809328,0.7985647304320944,sub-NORB00084
F4,0.16465928819444445,0.20459629494260342,0.8048009287784867,sub-NORB00084
C3,0.14313945631181862,0.16139322916666668,0.8868987692414416,sub-NORB00084
C4,0.15222981770833338,0.17449624293823549,0.8723959619131542,sub-NORB00084
P3,0.15893554687499997,0.19204733638365462,0.8275852707349872,sub-NORB00084
P4,0.155859375,0.19444438804057468,0.8015627325149484,sub-NORB00084
O1,0.1826768663194445,0.21411526582015739,0.8531706771103418,sub-NORB00084
O2,0.1698459201388889,0.21352429427478162,0.7954407282588483,sub-NORB00084
F7,0.17416449652777774,0.19406133526008953,0.8974713911679254,sub-NORB00084
F8,0.16608359166305683,0.1704264322916667,0.9745177988518966,sub-NORB00084
T3,0.14685455359721322,0.176953125,0.8299065280548915,sub-NORB00084
T4,0.1534505208333333,0.167798001385279,0.9144955217970527,sub-NORB00084
T5,0.16247466056151177,0.16278211805555556,0.998111232992196,sub-NORB00084
T6,0.15697699652777777,0.17040535487058697,0.9211975565380134,sub-NORB00084
FZ,0.16244032118055557,0.21186136718467985,0.766729316152086,sub-NORB00084
