subject_id,session_left,session_right,node,left_value,right_value,jaccard_min_over_max
sub-NORB00075,ses-1,ses-2,T6,0.3567035798291081,0.2963391223979944,0.8307713719609052
sub-NORB00075,ses-1,ses-2,FZ,0.3277940614187163,0.2667976917776581,0.8139186250749586
sub-NORB00075,ses-1,ses-2,CZ,0.33533805922644455,0.2962464902171144,0.8834263873909621
sub-NORB00075,ses-1,ses-2,PZ,0.3728080091501197,0.3335044047976659,0.8945741416820601
sub-NORB00075,ses-2,ses-3,Fp1,0.2981404214409843,0.3084940622089056,0.966438119768704
sub-NORB00075,ses-2,ses-3,Fp2,0.2928806208955279,0.3162340427716895,0.9261514615204728
sub-NORB00075,ses-2,ses-3,F3,0.2807331904261932,0.33799566652553403,0.8305822181450516
sub-NORB00075,ses-2,ses-3,F4,0.2961152949914699,0.27226160098516117,0.9194445730775377
sub-NORB00075,ses-2,ses-3,C3,0.2813373167488947,0.29120397161829714,0.9661177187434262
sub-NORB00075,ses-2,ses-3,C4,0.28156901697813014,0.2767613414981642,0.9829254101478809
sub-NORB00075,ses-2,ses-3,P3,0.33066295644924215,0.286972217836028,0.8678692675999199
sub-NORB00075,ses-2,ses-3,P4,0.29373938935930416,0.31110255838236356,0.944188279539254
sub-NORB00075,ses-2,ses-3,O1,0.30329705347393104,0.2815381643032048,0.928258817810782
sub-NORB00075,ses-2,ses-3,O2,0.30463758132893626,0.28640537837378977,0.9401511695450995
sub-NORB00075,ses-2,ses-3,F7,0.2912990311363004,0.2638483386396355,0.9057645595675856
sub-NORB00075,ses-2,ses-3,F8,0.27007975832158054,0.2604836047944453,0.9644691864848709
sub-NORB00075,ses-2,ses-3,T3,0.3007853458969572,0.27981454874108913,0.930279857573074
sub-NORB00075,ses-2,ses-3,T4,0.32265208417818136,0.25091398949033794,0.7776611458420744
sub-NORB00075,ses-2,ses-3,T5,0.2851722211779032,0.2739962326493235,0.9608096872745273
sub-NORB00075,ses-2,ses-3,T6,0.2963391223979944,0.2766698075821584,0.9336256561176577
sub-NORB00075,ses-2,ses-3,FZ,0.2667976917776581,0.33079697538758246,0.8065300218209711
sub-NORB00075,ses-2,ses-3,CZ,0.2962464902171144,0.3260934561337012,0.9084711288890468
sub-NORB00075,ses-2,ses-3,PZ,0.3335044047976659,0.31260915566927927,0.937346407340366
sub-NORB00077,ses-1,ses-2,Fp1,0.34396058509935845,0.2970576371139148,0.863638596928497
sub-NORB00077,ses-1,ses-2,Fp2,0.33602060103772935,0.30800179495011093,0.9166158086703964
sub-NORB00077,ses-1,ses-2,F3,0.3673684378735847,0.31272034488408557,0.8512444528282963
sub-NORB00077,ses-1,ses-2,F4,0.35833611479589733,0.32054682817571695,0.8945423442967657
sub-NORB00077,ses-1,ses-2,C3,0.3368643920658669,0.2965257891241676,0.880252695470966
sub-NORB00077,ses-1,ses-2,C4,0.3135636771328774,0.28829068862909457,0.9194007777467381
sub-NORB00077,ses-1,ses-2,P3,0.3260816852111791,0.3056829015143513,0.9374427187358989
sub-NORB00077,ses-1,ses-2,P4,0.3321761040429746,0.3116588532884276,0.9382338148204283
sub-NORB00077,ses-1,ses-2,O1,0.32178562643616077,0.327789263507703,0.9816844609024202
sub-NORB00077,ses-1,ses-2,O2,0.3580844048038101,0.3411768113385656,0.9527832174805044
sub-NORB00077,ses-1,ses-2,F7,0.32136212549519144,0.29534701162752347,0.9190473556036484
sub-NORB00077,ses-1,ses-2,F8,0.34742564744103577,0.3254083343385417,0.9366272661081224
sub-NORB00077,ses-1,ses-2,T3,0.33752870613978836,0.3006964571884235,0.8908766920224241
sub-NORB00077,ses-1,ses-2,T4,0.36932606995834677,0.29000170648539914,0.7852186186534463
sub-NORB00077,ses-1,ses-2,T5,0.3540388281890349,0.2911831417934933,0.822461037064611
sub-NORB00077,ses-1,ses-2,T6,0.39633741634699726,0.31309242285647343,0.7899643332749537
sub-NORB00077,ses-1,ses-2,FZ,0.3681553787839281,0.3133565414778845,0.8511529629499036
sub-NORB00077,ses-1,ses-2,CZ,0.3375498872526764,0.3221819757073471,0.9544721769264717
sub-NORB00077,ses-1,ses-2,PZ,0.3462201711513652,0.3067060022146477,0.8858698243799257
sub-NORB00078,ses-1,ses-2,Fp1,0.2977675265918255,0.3023501825882779,0.9848432173672844
sub-NORB00078,ses-1,ses-2,Fp2,0.2931656740439504,0.28831426968904483,0.9834516630545967
sub-NORB00078,ses-1,ses-2,F3,0.3238347694627001,0.29741786282239085,0.918424736528015
sub-NORB00078,ses-1,ses-2,F4,0.2922181323032729,0.3063606126104531,0.9538371457522747
sub-NORB00078,ses-1,ses-2,C3,0.2968577533901796,0.30628551252208636,0.9692190497216975
sub-NORB00078,ses-1,ses-2,C4,0.2865535993375912,0.35519281538569364,0.8067550550717951
sub-NORB00078,ses-1,ses-2,P3,0.3209049319428782,0.3138018942557105,0.9778656013662261
sub-NORB00078,ses-1,ses-2,P4,0.335750012022705,0.3109537225741566,0.926146571673476
sub-NORB00078,ses-1,ses-2,O1,0.30771078219139086,0.36795101408139064,0.8362819245371759
sub-NORB00078,ses-1,ses-2,O2,0.2715430418193866,0.32812416042626597,0.8275618639804675
sub-NORB00078,ses-1,ses-2,F7,0.31803332752882046,0.30418935285030013,0.9564700505255513
sub-NORB00078,ses-1,ses-2,F8,0.32131800227344354,0.27187908087843804,0.846137094575446
sub-NORB00078,ses-1,ses-2,T3,0.32362948303535904,0.3223057205941499,0.9959096358317129
sub-NORB00078,ses-1,ses-2,T4,0.29869288636709374,0.2911227705265859,0.9746558549398993
sub-NORB00078,ses-1,ses-2,T5,0.2974289461334547,0.33843988829133564,0.8788235560384717
sub-NORB00078,ses-1,ses-2,T6,0.2751355485883851,0.286026485012089,0.9619233288020739
sub-NORB00078,ses-1,ses-2,FZ,0.3268038034283063,0.31305860384550277,0.9579405152614177
sub-NORB00078,ses-1,ses-2,CZ,0.31369751719609856,0.33370283895938374,0.940050489754089
sub-NORB00078,ses-1,ses-2,PZ,0.34626353277862537,0.31292081798330657,0.9037071142671105
sub-NORB00079,ses-1,ses-2,Fp1,0.32583658858589937,0.3854812296851479,0.8452722558035708
sub-NORB00079,ses-1,ses-2,Fp2,0.3592343970695563,0.39775657822287325,0.9031513662817866
sub-NORB00079,ses-1,ses-2,F3,0.34381453334396095,0.4339981604443552,0.7922027434216347
sub-NORB00079,ses-1,ses-2,F4,0.3302955376392064,0.4078413475858384,0.8098628047262645
sub-NORB00079,ses-1,ses-2,C3,0.2750724916168075,0.3026049509316799,0.9090151723225162
sub-NORB00079,ses-1,ses-2,C4,0.2862721399650122,0.34605071166699686,0.8272548800318339
sub-NORB00079,ses-1,ses-2,P3,0.2949902154186216,0.3693545208122961,0.798664152722078
sub-NORB00079,ses-1,ses-2,P4,0.31753846517607254,0.34130900524674124,0.9303547820149535
sub-NORB00079,ses-1,ses-2,O1,0.32065542079011855,0.3522499792506984,0.9103064291791092
sub-NORB00079,ses-1,ses-2,O2,0.3149068113163124,0.35416480904256725,0.889153307375786
sub-NORB00079,ses-1,ses-2,F7,0.3173063721702166,0.36573240313876554,0.8675916310588012
sub-NORB00079,ses-1,ses-2,F8,0.3453490264368818,0.40552582518208863,0.8516079741205476
sub-NORB00079,ses-1,ses-2,T3,0.3141444952906614,0.37027167544184697,0.8484162201059298
sub-NORB00079,ses-1,ses-2,T4,0.32731403573634477,0.36421815970392996,0.8986757716924816
sub-NORB00079,ses-1,ses-2,T5,0.3063460850670617,0.3369211665996507,0.9092515265776694
sub-NORB00079,ses-1,ses-2,T6,0.30747311011673506,0.3677862094418606,0.8360104381927355
sub-NORB00079,ses-1,ses-2,FZ,0.3405598657597814,0.42200367312461495,0.8070068756468295
sub-NORB00079,ses-1,ses-2,CZ,0.32249923470480685,0.3153801143556811,0.9779251558359755
sub-NORB00079,ses-1,ses-2,PZ,0.3058254235936297,0.3684620898847478,0.8300051266855963
sub-NORB00080,ses-1,ses-2,Fp1,0.33001104684094484,0.30804216449190863,0.9334298576992044
sub-NORB00080,ses-1,ses-2,Fp2,0.3104762951139085,0.2988990525348738,0.9627113478187209
sub-NORB00080,ses-1,ses-2,F3,0.3612709235728472,0.3043579271628479,0.8424644977039696
sub-NORB00080,ses-1,ses-2,F4,0.3147251714342375,0.2865362792848071,0.910433309096408
sub-NORB00080,ses-1,ses-2,C3,0.30375618460437565,0.283357109183707,0.9328439174094932
sub-NORB00080,ses-1,ses-2,C4,0.27957490633294535,0.27284205950213924,0.9759175566966373
sub-NORB00080,ses-1,ses-2,P3,0.3125368124718223,0.29952082839891603,0.958353756890383
sub-NORB00080,ses-1,ses-2,P4,0.3126497571451341,0.2905123780556578,0.929194318615127
sub-NORB00080,ses-1,ses-2,O1,0.39723851083851125,0.29816391615530957,0.7505916672729691
sub-NORB00080,ses-1,ses-2,O2,0.39759787981864114,0.30929642213203995,0.7779126545471553
sub-NORB00080,ses-1,ses-2,F7,0.3039653500545712,0.2993134005832242,0.9846957902586205
sub-NORB00080,ses-1,ses-2,F8,0.3066754511452992,0.27641287924596203,0.9013205270056026
sub-NORB00080,ses-1,ses-2,T3,0.30267822000568406,0.2999728086607895,0.9910617574503916
sub-NORB00080,ses-1,ses-2,T4,0.3282999974065973,0.26596899207020486,0.810140097993373
sub-NORB00080,ses-1,ses-2,T5,0.32120289114925893,0.3052172359926334,0.9502319076287604
