subject_id,session_id,n_segments,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ
sub-NORB00081,ses-1,15,0.3079551929366922,0.31636345511517266,0.34772254492501464,0.284934548181264,0.31485820515595325,0.3071152482440905,0.2694207277248065,0.29921447990122557,0.2916922262385878,0.2896954542292431,0.2856656099630126,0.2872623338282453,0.2758131580628831,0.30088709375269684,0.27108846656249636,0.3194280985020085,0.34514939335190614,0.30474510882294875,0.3023844333932864
sub-NORB00081,ses-2,20,0.31076713637623565,0.32018958963046384,0.3267278664282041,0.31504496421460043,0.32173913085599315,0.3282013203645525,0.29110681811998407,0.3495508569968618,0.3217320759954172,0.3813066743169218,0.312746588959777,0.3237952097026596,0.3287595486682654,0.3216751214703805,0.343896682616092,0.3288312182571503,0.32710875059435396,0.33646247990176403,0.3038491380672658
sub-NORB00083,ses-1,20,0.3167212773425888,0.3047038132499888,0.3502651748076485,0.30462817350972676,0.2624466755238208,0.2796123980729051,0.31250820377396443,0.3069191991399832,0.29621282150637357,0.2982678405824387,0.3006959135452659,0.2806991844695824,0.2817494361716868,0.2991088462363967,0.3287303014427737,0.29780918844503657,0.35774321149123334,0.26189222148283886,0.3068576541783302
sub-NORB00083,ses-2,20,0.3515818187522521,0.3474054736395657,0.3181361336357186,0.332413662618296,0.3105908650741679,0.2761894870464173,0.3275236537743682,0.33038710387014253,0.3463054585926503,0.33328438728941623,0.32755116694260134,0.3222512730138538,0.3266589955870233,0.2846141258973697,0.3581882182886602,0.3531137496637713,0.30411998939842266,0.2935727822732458,0.32967539693557035
sub-NORB00084,ses-1,15,0.34134018086431034,0.34353464820516927,0.3662713880278981,0.3640372837505639,0.2572421658243291,0.28661331650437755,0.36102332145961497,0.3539642145802635,0.3961471650102498,0.4004479932485413,0.3547679340736337,0.3188017975371587,0.2717124094139878,0.29759396851548126,0.2951051283541951,0.3127267751937118,0.3652657272451083,0.31133349942419203,0.39216865940499
sub-NORB00084,ses-2,20,0.2857745510487493,0.27963132208836183,0.2948677153502157,0.28744082062325693,0.271783424392738,0.2668856967084311,0.2768788510999537,0.2622809707135191,0.3142918807633417,0.2865927132480961,0.2871854091152015,0.29942414407433804,0.3193658987118215,0.2798914916527504,0.2836513517068214,0.27565398729583557,0.29480646637938934,0.2798235754323173,0.2794066917891687
sub-NORB00085,ses-1,8,0.2905564574836389,0.28419018520142164,0.312481180898679,0.2842981961747262,0.30959691513194365,0.2917921088705178,0.308325592110698,0.280344841933509,0.3380999778232463,0.28825243078800206,0.26893125943302426,0.28783129571211774,0.29072915994737947,0.25714338806813336,0.35899972201004027,0.3226314008708226,0.3117544744616359,0.2688513969299504,0.3059528503187485
sub-NORB00085,ses-2,19,0.33472347562206645,0.34304785995154086,0.36788676414275945,0.3201670920792167,0.3263918744744363,0.30015466469572166,0.3748678093736712,0.31960709087156175,0.36134709993365915,0.3591073740391779,0.3040130682519372,0.32185206202490096,0.3933023585827778,0.31389818506903205,0.34956269569073944,0.3280754899770482,0.36059271168167895,0.35569966026697786,0.38229962554042646
sub-NORB00086,ses-1,20,0.38770303904846026,0.3322799964060904,0.39395615699996084,0.3492351477347884,0.32849179002300866,0.3098015482309874,0.31007979165362387,0.3188874476162868,0.3262049690395691,0.32871277452063585,0.34375723543715164,0.34253816345763627,0.31656022995950267,0.3527766946406807,0.32732138003595923,0.31124258652709624,0.39689262051558016,0.340184958883658,0.31406414811933614
sub-NORB00086,ses-2,20,0.31468294337445435,0.2826801046381429,0.3508670086313713,0.30241114588252466,0.29885538034093645,0.2863040831515182,0.3008256337348018,0.29543880128971667,0.3302988233589037,0.29770196903929536,0.2940726541877229,0.30978321191292685,0.3069913907877933,0.3382656344335902,0.3113471605201049,0.3031852962236451,0.34622987753093387,0.3334800965638014,0.3042689616353604
sub-NORB00087,ses-1,19,0.2975533994823357,0.29567925360444747,0.3068929974603092,0.3104732820842845,0.25600497175279924,0.2728997864725469,0.27123017059299764,0.314759747119756,0.32083966380336615,0.31388610248152776,0.3243254688922975,0.3295186934418622,0.2863436599248997,0.33005576300830863,0.2990573766143939,0.33376514085925746,0.33486299955480947,0.30984162026746337,0.29288133627493734
sub-NORB00087,ses-2,19,0.31136121158611973,0.3113679398658924,0.3305636419635714,0.29129902238755306,0.30023595175573925,0.29826241537913395,0.3060318354571442,0.2910593025595885,0.2908160204054644,0.2898837193727177,0.31941856293692555,0.3141463610301841,0.2918811195077798,0.3396140809091289,0.30394906933276983,0.32289187663899344,0.317678805437601,0.30119090157980183,0.2948755538520565
sub-NORB00089,ses-1,24,0.2634772293357955,0.26755572772338515,0.3011336818511317,0.25222970625666546,0.2618283798819272,0.2835782327339199,0.2559897724159284,0.2689110594794102,0.24106842818302018,0.2463870863883982,0.2540938827926557,0.24929972182253143,0.23052805926186803,0.27143152628469286,0.25332726277763407,0.2670106769160772,0.3071080328334789,0.25766011927619686,0.2579671194601863
