Source,Target,F-statistic,p-value
F8,C3,382.5434594262063,6.589978745622767e-165
P4,CZ,382.05313688499564,1.0637952414096432e-164
T6,CZ,377.2634980635686,1.4876235416108045e-83
FZ,T4,376.38202589090713,2.7086655964420626e-162
T6,T3,371.0145081611452,3.2909858174185783e-82
P3,C3,347.7342411339216,3.390478883481689e-77
Fp1,T4,334.6269418316953,1.4877200254175314e-144
T4,Fp2,333.09592181182546,6.665628722650822e-144
P3,CZ,332.82198326588923,8.717366614892453e-144
F3,Fp2,332.3529183106442,1.380220464947166e-143
F3,C3,328.5440796480977,5.762710983355326e-142
O1,C4,328.19864290493246,5.500134583457241e-73
T4,FZ,322.3870214245875,2.4059316271612743e-139
Fp1,T3,317.63728603032865,1.0418777304598274e-70
P4,C3,304.53999039779023,9.62024466134624e-132
C3,T4,302.9938187243324,4.386985360321969e-131
P4,PZ,302.4346349948701,7.594624355058509e-131
T3,F8,288.6741541260639,1.8555952024689763e-64
CZ,PZ,286.3030318588093,6.033142519680984e-64
T3,P4,283.3588391442174,2.6087659417406527e-63
P3,FZ,282.14750963622254,4.765225981249446e-63
Fp2,F3,279.5949236108284,4.1921746755761795e-121
F3,PZ,276.8385449701588,6.295863306585259e-120
T4,O1,275.7755074896157,1.134146766677234e-61
F4,F8,274.344153497474,2.311782200315202e-61
O2,CZ,273.7039987177778,1.3719614426632461e-118
PZ,CZ,270.96770515682533,2.0221172299829392e-117
T5,FZ,270.89453349828045,1.2864668176893024e-60
CZ,F8,266.17198885759404,1.349305756091732e-59
P3,C4,265.06085625216195,6.742886228611907e-115
T4,T5,264.65827549248104,1.001928480657192e-114
C3,T3,264.49484092203835,3.109240257962569e-59
T5,CZ,258.8200763755823,3.1297941778839323e-112
T3,T5,258.0715937700325,7.610305163264775e-58
T4,P4,257.55638075010705,1.0854615982136873e-111
F7,T3,256.05750285576573,4.7455176723935035e-111
T3,P3,251.7283225852199,1.791673984617246e-56
O2,C4,249.00113285064933,4.9340045700064806e-108
F8,PZ,247.95782454332752,1.3783897286186746e-107
C4,F3,247.7133781577567,1.7535334827274767e-107
T4,F7,246.06075334362038,8.927523805045207e-107
O1,C3,245.92534344486535,3.2256805944402446e-55
F3,F4,245.8174775999387,1.1344478930290044e-106
CZ,P3,241.72813188478264,2.611085353392995e-54
CZ,P4,238.8711501172345,1.0842356284065415e-53
F3,F7,236.6409225246802,9.56985816432241e-103
T4,T6,235.23928017631988,3.808756021819069e-102
Fp1,FZ,234.16670761033393,1.1309310164227415e-52
T4,O2,231.9789112337155,9.470277098335699e-101
O1,FZ,223.72611389957763,2.0616938774483523e-50
C3,C4,220.62236948510213,6.912672706766507e-96
T4,C3,217.33577798426518,1.7689647396732104e-94
T5,C4,214.9757986943442,1.815433312677335e-93
T4,PZ,211.74176102988875,4.415890161595501e-92
F4,C3,211.1087225003042,8.248160921332839e-92
F7,F3,206.52128491082357,7.638076942158027e-90
PZ,F3,203.77967944978167,1.1443834934511039e-88
PZ,C4,203.40738863112495,1.6528120968698126e-88
T3,F3,198.38171189003833,2.3647015105581626e-86
CZ,O1,194.8585752952241,3.728351887612792e-44
T4,C4,194.83705655349092,7.843494515927367e-85
O2,FZ,192.12413891643308,1.4613102809304776e-43
F4,T3,191.13576482472473,3.0394751654175095e-83
FZ,F4,183.74083157090334,4.5413153951167555e-80
PZ,P4,181.3744151469134,3.1460814847436986e-41
F4,F3,177.51307969766552,2.146152989751673e-77
P4,F4,177.19246165772245,2.5456095673685892e-40
O1,PZ,176.95923850052557,2.8604746789943268e-40
T6,C4,176.89888544807644,3.939846681741394e-77
P3,PZ,176.69590137696653,4.8158230858547596e-77
FZ,C4,169.9066954592014,3.977262567817964e-74
F8,F7,169.38380294107878,6.672530300744312e-74
T6,F3,169.34502954482576,6.9335110063359566e-74
CZ,F3,165.46229333589196,3.234001680134427e-72
CZ,Fp1,164.72772627204628,1.2991646697813806e-37
T3,F7,163.18861709243126,2.8065805745271313e-37
C4,T4,160.7621005764796,3.391593917318471e-70
T4,P3,159.44664583518008,1.2474907108103776e-69
FZ,CZ,159.28941517928442,1.4576328310986963e-69
F3,Fp1,159.18594531366617,1.6148850777784545e-69
F3,P3,158.721169719017,2.558615932807654e-69
T6,FZ,157.46385001166965,4.928546862287583e-36
O1,F3,155.24991463459145,7.9597813107481e-68
P4,P3,155.16159415105386,8.687396663900609e-68
F8,P3,153.740919091076,3.547976332761661e-67
CZ,T5,153.58283511005754,4.1493731450560995e-67
C4,T3,150.87036222372933,1.3388691132346185e-34
C3,CZ,147.7861181850428,1.2941115466714798e-64
T3,O1,146.9450286987335,9.567280481143771e-34
P4,O1,146.87083830263242,3.205126116417155e-64
O2,C3,142.35177234375328,2.8240162245223187e-62
F8,O1,142.24414154893176,3.141944464394894e-62
T5,O1,141.9729724900505,4.110822554981356e-62
T5,C3,141.57465520526225,6.100930092418218e-62
C4,T5,140.17740026620694,2.4373547386921116e-61
C3,FZ,137.75194090997067,9.593478811158124e-32
T4,CZ,135.96319985000844,1.5902335581105503e-59
FZ,P4,133.44640359403368,8.3125506925593e-31
F3,P4,132.24002644115365,6.382224220773533e-58
Fp2,T3,130.7152095361049,3.271702181557574e-30
T3,C4,129.69701482303986,7.95095312639262e-57
T3,CZ,128.00147059165025,4.274652203844604e-56
CZ,O2,127.04558137768898,1.1034557191636274e-55
P4,F7,126.82330378309275,2.3064381094602957e-29
PZ,FZ,126.03598033828497,3.4242098286879026e-29
C4,C3,125.17584213066104,7.053761407342704e-55
F3,O1,124.95568094989125,8.775943200704002e-55
C4,F4,122.39325664578125,1.1158421118568024e-53
C3,F3,121.49919119079637,2.7098970970230214e-53
F8,T6,120.20204745526613,9.819087503787797e-53
T5,F3,119.24526777530376,2.5380982763898218e-52
Fp2,CZ,117.7752133117481,1.0920685390437806e-51
F3,F8,116.77317914260836,2.952980856506773e-51
F4,PZ,116.67716414589675,3.2483090814535064e-51
T3,T4,115.70516727695704,8.52601625033815e-51
Fp2,C4,114.32170767621697,3.3673321583273094e-50
T3,F4,113.89109282586482,5.163867044984926e-50
Fp1,C4,112.99261052852309,1.2601818821738358e-49
O2,O1,112.31306164850986,2.474535722903459e-49
P4,T6,110.93060119342799,9.766258516119542e-49
Fp1,C3,109.98414913815171,1.087310575419127e-25
O2,PZ,109.50295833751733,4.031836468610527e-48
F7,C4,109.1818492139118,5.546411203148897e-48
T6,C3,108.69858552222199,8.963366609145326e-48
C3,F8,108.02674777441847,2.9091925420306406e-25
T5,PZ,107.29103690005098,3.6279602357690947e-47
F7,CZ,107.07020163105271,4.517849184268287e-47
F8,P4,107.00768848709174,4.807290695529714e-47
PZ,C3,106.63418734340802,6.966808260476373e-47
FZ,Fp1,105.81791488388068,8.835025441387243e-25
C4,O2,103.48934509476717,1.5845640972672826e-45
P3,F3,102.91519185942687,2.803257550603108e-45
P3,O1,102.35986955194718,4.8674203231728015e-45
Fp1,PZ,101.77978587532371,6.737626552341674e-24
C3,P3,99.33426307646774,2.3069928989348558e-23
CZ,F4,98.63906117600766,1.9639778374162216e-43
F3,T6,97.63737439102493,5.315094828537882e-43
T3,C3,95.794151241567,3.320487640881291e-42
CZ,T6,93.99570984468399,1.984490298388742e-41
FZ,T5,91.60966118149207,2.1277455916758712e-40
C4,T6,90.88917290464975,4.355610099970174e-40
FZ,C3,90.69339014335112,5.291715695367272e-40
CZ,C3,89.87403720326247,2.70696753234389e-21
FZ,Fp2,88.6113442860025,5.115750096618882e-21
FZ,T3,86.3993945119022,1.5605352174686642e-20
Fp1,F7,85.54755909767604,2.3980045260873277e-20
F7,F8,84.8922988001633,3.3372455159872686e-20
T3,O2,83.8465393126243,4.79746381511594e-37
T3,Fp1,83.61044387718674,6.371320575021118e-20
T6,F4,82.98875127626599,1.1261901759874345e-36
PZ,P3,82.82498526462639,9.469889316880742e-20
O1,F4,79.26078071144386,4.597052046884953e-35
CZ,Fp2,79.22074896730582,4.7838691170286717e-35
C3,P4,78.668139717823,7.719906190152422e-19
PZ,F4,78.3557943235854,1.1313141134821112e-34
P4,F3,75.60522024677817,1.747516420813051e-33
O1,F7,71.96311244180457,2.2855301670592053e-17
PZ,F8,71.56849494201396,9.716749750873077e-32
CZ,F7,70.26597260539553,3.5538781286576996e-31
P4,T5,69.89255362625411,5.154291335568289e-31
O1,F8,69.57012150253233,7.105451646286548e-31
T4,Fp1,69.4270107796092,8.19360505831641e-31
C4,PZ,66.90467389241809,1.0098662193124844e-29
O1,T5,66.62262990883977,3.4072798689199343e-16
C4,Fp1,66.57282406092453,3.49428285891309e-16
C3,T5,66.30321673126181,1.838189554170002e-29
C4,CZ,66.10416281443415,2.24120720124984e-29
F4,P3,64.78046878194925,8.375539237134971e-29
P3,F7,63.89196852760356,1.3582083568780521e-15
T3,FZ,62.16055155600335,1.1384962915861646e-27
T5,F7,61.98027622716819,3.578153050576773e-15
T3,T6,61.597914334240976,1.9940694674779592e-27
P3,F4,61.14498575571949,3.1310707654467896e-27
T5,P3,60.85193014731688,4.192584654511816e-27
C4,O1,60.389201567782884,6.647886890516461e-27
O2,F3,60.126985357114364,8.632474568519166e-27
C4,P3,58.811153292835115,3.2024127750483917e-26
T3,PZ,58.05603565478842,6.795589692897014e-26
C3,F4,56.94595757509813,2.0540035119377027e-25
T3,Fp2,56.8857702902948,2.1809590642815994e-25
F7,P4,56.66892295272942,5.292747686353293e-14
F4,O1,56.44157546038347,3.39529839803164e-25
PZ,T5,56.360278473631,3.6818045729917357e-25
F8,F3,54.570279179258684,2.1916005481557275e-24
F7,Fp1,54.291735910922746,1.7699786661920032e-13
O2,P3,53.50195669944839,6.35573758125626e-24
T5,F4,53.39969664041941,7.037672223829528e-24
T6,F8,52.93950671847547,1.1133325001264542e-23
F4,F7,52.61606099918432,1.5368576477963545e-23
C4,Fp2,52.55435893396879,1.6343411230370703e-23
F8,T5,51.69640881908681,3.8435763059859115e-23
F3,O2,49.29221594714797,4.222578190621913e-22
FZ,T6,48.66600184176704,7.883314702624804e-22
T6,PZ,48.50988091004117,9.210983468790582e-22
FZ,PZ,48.454218344562555,9.7365904597727e-22
O2,F7,47.94637217893141,4.463000387555104e-12
F8,Fp1,47.467388058320914,2.6043583191969097e-21
FZ,O2,46.26505703500888,8.636566147465579e-21
T6,T5,46.06423453595157,1.0551306340357854e-20
Fp2,FZ,46.01495641232178,1.1082711582706581e-20
C3,T6,45.69082379334623,1.5311321917159107e-20
T6,O1,45.68305491657666,1.5430395546063802e-20
F3,T5,45.09238596278422,2.780837015527932e-20
T5,T6,44.60221546789695,4.5337620838236424e-20
Fp1,F4,43.324120571951866,4.709921813531252e-11
O2,F4,42.263572100319095,4.670554412165313e-19
Fp1,P4,41.95172620768854,9.491054306491427e-11
T5,Fp2,41.88728537489882,9.808630410369018e-11
P4,F8,41.64950193060877,8.617039215236382e-19
C3,O2,41.60259716723159,9.029749009670668e-19
C4,F7,41.35220977647818,1.1591411210473737e-18
O2,Fp2,41.20136388446497,1.3924736667931327e-10
F4,T6,40.8049950044596,2.0006906699058514e-18
O2,T5,40.774057014709754,2.06339308707051e-18
F4,Fp1,40.1887603891365,3.699401115658134e-18
FZ,P3,39.892276876677435,4.972457523354166e-18
T5,Fp1,39.1599567787296,1.0323565981017534e-17
P3,T6,38.902746200843694,1.3343291572044764e-17
O1,P3,38.83762228994742,4.663004783819872e-10
C4,FZ,38.69503590891766,1.6415425503115944e-17
Fp2,F8,38.13459389230705,2.871216323300088e-17
O2,Fp1,37.94283458083927,3.4765490418764686e-17
F8,O2,37.080666901765305,8.21688164723422e-17
T6,P3,36.485636921903996,1.487758403036271e-16
C3,PZ,35.87746911746714,2.729356560030122e-16
P4,Fp2,35.196224669540086,3.011617147414955e-09
F7,C3,34.90892704481345,7.174045609181244e-16
Fp1,Fp2,34.84596871195803,7.639186351416857e-16
P4,Fp1,34.61128136495843,9.65494327097004e-16
O2,T6,34.58653901450897,9.896280612538153e-16
F8,Fp2,34.41599433457015,1.1732193349309322e-15
CZ,C4,34.413112705657056,4.50089732070478e-09
T4,T3,34.302117041697436,1.3144058748561825e-15
F4,Fp2,34.26134206795848,1.368989031261121e-15
CZ,FZ,34.25663364690194,1.3754361665282975e-15
P3,P4,34.06861254677579,1.6592924971436409e-15
T5,P4,33.50053183427777,2.9249423203365913e-15
F7,T5,33.29520286385907,7.990707638382302e-09
FZ,O1,32.345195010996036,9.264951603432401e-15
F7,P3,32.175992547416335,1.4203353885691456e-08
O2,P4,30.95646259218801,3.7048531765272143e-14
C3,O1,30.227504262275684,7.66918650611098e-14
F4,P4,30.01428415675822,9.488019727546266e-14
Fp1,T6,29.8946167008573,4.5958391896264774e-08
P3,Fp1,29.773228209943447,1.2068952317175502e-13
P3,F8,29.767367850139994,1.213975621647333e-13
Fp1,O1,29.519858309520664,1.5541866168439143e-13
F7,F4,27.38648880315906,1.3072802526617079e-12
T6,F7,27.376912580559246,1.6847189661331657e-07
PZ,O1,25.27371426849372,1.0775246144164202e-11
Fp1,F3,25.025660911803502,1.3803407186634736e-11
P3,T5,24.77926062245457,1.7653477025390205e-11
C3,Fp1,24.699728562945943,6.73391337308027e-07
Fp2,T5,24.657838397701916,1.992883443245064e-11
T5,F8,22.562429352768408,1.614973160003944e-10
PZ,O2,22.36613944443098,1.9646870635139533e-10
F4,T5,22.264535058757687,2.1744936243515862e-10
T6,Fp1,21.70342731770479,3.8081118558255147e-10
PZ,F7,21.52881158790124,3.499321220372645e-06
O2,F8,21.14252838148247,6.667748582984127e-10
Fp2,F4,20.89527561556897,8.535300546045114e-10
O1,P4,20.237505132384545,6.863918442493885e-06
Fp1,P3,20.210487248072788,1.6913637086653944e-09
Fp2,C3,19.658717652009834,2.934737397539967e-09
F7,O2,19.24039205561863,1.156167441430668e-05
F7,PZ,18.92958079231025,6.079220306841143e-09
O1,T6,18.705642079778766,7.603069434407887e-09
CZ,T4,18.524941673112284,9.10699142381044e-09
Fp2,Fp1,18.52431499358817,9.11269377189834e-09
F7,O1,17.902473262410126,1.6959071418276337e-08
P3,Fp2,16.481941947730938,4.923239581602333e-05
O1,Fp1,15.67012053380195,1.5771908294428574e-07
Fp1,O2,15.658643522267075,7.602869607937097e-05
PZ,Fp1,15.38214819465489,2.1029443075983738e-07
F7,FZ,15.267686984846417,2.3577082647857354e-07
CZ,T3,15.139875163073283,2.678831071733392e-07
Fp2,PZ,14.830809109142514,3.6479206758097805e-07
PZ,T6,14.747440029288414,3.964776169273994e-07
T6,P4,14.34050548109475,0.0001528257765313819
FZ,F7,13.889740142710627,9.340709766389188e-07
Fp2,F7,12.34748460551638,4.36138178712119e-06
O1,Fp2,11.929101548886086,6.625029039737261e-06
P4,O2,11.846506777513586,7.195013321554598e-06
F4,O2,11.71915007577631,8.171489072006194e-06
Fp2,O2,10.605928047204447,2.4855943648851515e-05
Fp1,T5,10.262440151795442,3.503546718166912e-05
PZ,Fp2,10.005428519928099,4.529559613032856e-05
Fp2,P4,9.68411978171698,0.001860310059152915
O1,O2,8.440018940278119,0.0002165274613930504
Fp2,O1,8.344388726295888,0.00023824449872217681
T5,O2,7.697004095630694,0.00045502740349862833
Fp2,T6,7.511545442480028,0.000547700266273614
T6,Fp2,7.473248306643723,0.0005690722394509753
F7,T6,7.108993723460661,0.00081900977427637
C3,Fp2,5.756739526645369,0.0031646781404137186
P3,O2,5.7249210838393045,0.0032669550865758266
T6,O2,5.70362817434159,0.003337238574340906
C3,F7,4.85269134635276,0.02761013303858282
Fp1,F8,4.619340743608621,0.03162086277410456
Fp2,P3,4.10405598515804,0.016514283470476426
