Source,Target,F-statistic,p-value
F8,F7,168.83459986357175,1.1489768935973978e-73
FZ,C3,167.36157943486302,4.9360931457615776e-73
Fp1,T3,167.23482427566617,5.595805939404471e-73
Fp2,F7,166.9549928077171,7.381346119935228e-73
O1,C4,163.81857945565693,1.6455980170618708e-71
PZ,F4,163.51568272116066,2.2209452815371906e-71
F4,F8,158.91825509336834,2.3795259113939934e-36
F7,PZ,158.06551247335943,4.897354719466012e-69
O2,C4,157.88489240852823,5.856481407241395e-69
O1,P3,157.13554330317942,1.2299904925640616e-68
P3,P4,154.91715182290974,1.1067016862526478e-67
C3,Fp1,154.5495737680958,1.592715930690886e-67
O1,C3,153.3320774139221,5.319249708961199e-67
P4,P3,152.54052572668178,1.1650952057094098e-66
F7,CZ,152.25202063448188,1.5505121416908646e-66
O2,C3,151.84400726009267,2.3227619666732191e-66
F7,P4,149.48685681744624,2.3996630067143726e-65
T3,PZ,147.65221587903997,1.4777216838792698e-64
F8,PZ,146.9891682382105,2.850511603130184e-64
T3,P4,142.24560609171925,3.137386818261976e-62
F4,FZ,141.1123821423394,1.7794805194192359e-32
T5,P3,140.96172992414455,1.1200977334645831e-61
T5,F4,140.90431049737452,1.1857007017140212e-61
C3,T4,140.39202803225112,1.9702322368580346e-61
F3,PZ,140.2990793762193,2.1603963159493468e-61
C3,F8,139.29895951044094,5.822599876651406e-61
P3,CZ,138.96349513378658,8.119906789274806e-61
Fp1,P3,138.24400597968256,1.6570554156357176e-60
F4,PZ,136.6582167225872,7.983057735704887e-60
T6,P3,136.31068685708715,1.1267373952230394e-59
F8,P4,135.3493529576919,2.9228697189707283e-59
F4,T4,134.76328925730772,5.226401454173575e-59
FZ,F7,133.99862500673055,1.1156441813320885e-58
F4,F7,133.57707697434165,1.6946625025292968e-58
F8,T3,132.39745785062325,5.459606939099165e-58
T5,T4,132.256990640792,6.275740962640129e-58
F7,T3,132.19873444669975,6.649024506226419e-58
Fp2,P3,132.02646118992772,7.887918508617582e-58
T4,FZ,131.65252304916996,1.1429682586033095e-57
C4,Fp1,131.2133491618144,1.766894523225286e-57
PZ,T4,131.0573694976335,2.062533079135137e-57
T4,F7,129.44226630662837,1.023684509826382e-56
CZ,PZ,128.07509923606221,1.2305639878807692e-29
T5,FZ,127.19277604598648,9.53527167367015e-56
T6,F4,126.40609949621395,2.0811122365822962e-55
P3,T4,126.15994349961126,2.6568213830779005e-55
C3,FZ,126.09091630256553,2.8451552763312747e-55
T3,F8,125.7053285216788,4.171160986033554e-55
F3,P4,124.68927135208322,1.1431367597822969e-54
F8,CZ,124.42170850186568,1.4907384738164897e-54
T3,Fp2,123.2653863620555,4.6959967187855853e-54
T4,T3,122.5231064908749,9.809301950150827e-54
T6,T5,121.55370197861626,2.5671873271841385e-53
F7,P3,120.69526399377487,6.018256921439385e-53
T5,F3,120.20240398773315,9.815613405006942e-53
F8,P3,120.10816394890459,1.0778051189576669e-52
F3,CZ,119.71600604010652,1.5906882503733528e-52
CZ,C3,119.51712096935556,1.9378433826705397e-52
T4,CZ,118.75271890586079,4.138473141790226e-52
C3,P4,117.4548100385105,1.5010101696148588e-51
T5,PZ,117.3834117063203,1.6112598584638258e-51
F4,P4,117.16842428691922,1.9945912390565077e-51
C4,T4,116.89092262241535,2.627217644613583e-51
T3,F3,115.72054505070776,8.396835334006166e-51
T4,PZ,115.43292830552646,1.1171975703556794e-50
Fp2,T3,114.34617135753922,3.286524806850542e-50
T4,O1,113.68994939375604,6.305412792911932e-50
T5,F8,112.7996109238663,1.5263863932280929e-49
P4,CZ,111.12897326570898,8.019922431358678e-49
T5,P4,110.97126259044724,9.379740731771022e-49
F8,T5,109.71144829554686,3.277729163039323e-48
T4,T5,108.82232045269947,7.926777287811184e-48
C4,Fp2,108.19560752957634,1.4772050947353338e-47
C3,Fp2,108.0008252494852,1.792527623732196e-47
T3,Fp1,107.74835547794129,2.303443819045908e-47
T5,F7,107.31131627769663,3.555608861395883e-47
T5,CZ,106.13209589122033,1.147225597862795e-46
F7,T6,105.6269353769242,1.8949366124146e-46
T4,P3,104.65238088296176,4.989702488932572e-46
Fp1,F3,104.24589449043357,7.472471074748545e-46
T6,T3,103.65513270051794,1.3439167024085982e-45
P3,FZ,102.39747823367858,4.68888387620796e-45
Fp2,T5,102.18319325776825,5.801508686969487e-45
CZ,Fp1,102.15984462696073,5.937679788122297e-45
T6,F7,101.53244910060236,1.1075602975693746e-44
C3,PZ,100.30343076607541,3.756445028534528e-44
T6,FZ,99.93974929451615,5.39187072618232e-44
T5,T3,98.81674074546368,1.6460561916406176e-43
F7,F3,98.80209053982288,1.6701985435532453e-43
C4,F7,98.33827614179188,2.6482959406678172e-43
P3,F7,97.12627525158933,8.833553808686061e-43
F3,P3,96.89843264437984,1.107872459676462e-42
O1,PZ,96.03535831202387,2.6125904403407206e-42
O1,T5,95.64361389831072,3.856475089228276e-42
FZ,PZ,95.5171538315012,4.3730579434566425e-42
F4,P3,95.27442897316523,5.566399648380785e-42
F3,T3,95.24421855882056,5.736102875776291e-42
F4,CZ,94.31459139519629,1.4453427677122922e-41
FZ,CZ,94.23504385267363,1.5642836404946237e-41
CZ,C4,93.19791115344316,4.386448778248814e-41
C4,FZ,92.92534655370739,5.751772442520654e-41
Fp1,T6,90.57087986440551,5.977261969279393e-40
T6,F3,90.52779478177595,6.238908003523913e-40
P3,T3,90.20743894552427,8.579377961323223e-40
O1,CZ,89.485678325272,1.758578325429645e-39
F4,T5,89.15595187001745,2.4409840912259788e-39
O1,P4,88.80435943088607,3.462700607521496e-39
T5,Fp2,88.74240679122494,3.682749186603552e-39
O2,P4,87.74886372182151,9.892251121805319e-39
P4,T3,87.5989805549782,1.1482428356940254e-38
T3,T6,87.44406981800097,1.3395056017697622e-38
T5,T6,87.3452644739704,1.477821523490776e-38
Fp1,T5,87.30897416297674,1.532135222266331e-38
CZ,Fp2,87.15084300460387,1.793081895347871e-38
P4,PZ,87.06855137540136,1.9460113221672794e-38
P3,PZ,86.87021874180455,2.370360317209166e-38
O2,PZ,86.82308207838855,2.4841340093511753e-38
O2,P3,86.7683195960831,2.6231898067215963e-38
T4,P4,85.81693921629962,6.75759316085768e-38
C4,P3,85.26176049738048,1.1738717233902003e-37
C3,F3,84.71291672716961,2.0263794837567514e-37
F8,O1,83.73932071227296,5.337446208630125e-37
T6,O1,82.91661852494398,1.2099766168964827e-36
O2,CZ,82.76973900106519,1.4003522514712497e-36
T3,P3,81.8791297711631,3.396593700962818e-36
P4,F8,81.66765388073934,4.19198098136026e-36
FZ,T4,81.56706220430756,4.633230944685379e-36
Fp2,O1,81.50934139547995,4.9070970576163096e-36
FZ,P4,80.28508400129178,1.6589663016269813e-35
Fp2,T6,80.13616921723312,1.9239233459351649e-35
C4,F3,79.86701969822447,2.5147582082173615e-35
O1,O2,79.39476627310495,4.023253252425659e-35
C4,CZ,79.0639825311312,5.591481693591018e-35
T6,PZ,78.84100334611941,6.980554572578554e-35
F4,O1,78.65235142752952,8.422074267862968e-35
Fp1,O2,77.95877552725345,1.6794532994400902e-34
T4,F8,77.56148113568301,2.493882620278569e-34
T6,F8,77.3898230371566,2.958467795094642e-34
O2,T4,77.38390530944324,2.9759423187861067e-34
T5,Fp1,77.3064214391433,3.2144998022376297e-34
O2,F4,75.99655041372195,1.1837780169964162e-33
CZ,F8,75.68160768469407,1.619581318993473e-33
O1,F4,75.28447388389058,2.4047268198255757e-33
P4,F7,74.74538302100807,4.112416973267898e-33
T4,T6,74.48222362172892,6.396685885725638e-18
F4,T3,74.44971667700352,5.5195971103619504e-33
Fp1,O1,74.29604609253185,6.431863419997636e-33
P3,F8,74.2641560929227,6.639302410656718e-33
C4,T3,74.1734499915779,7.266640615240474e-33
P4,FZ,74.07357900421826,8.026145838147121e-33
P3,F3,73.48645780970337,1.4398587532889608e-32
CZ,F7,73.04645073173135,2.2312143444466162e-32
T4,F3,72.63463684356196,3.361855883312465e-32
T4,Fp2,72.26938689885083,4.8360403006792123e-32
P3,Fp1,70.83233995848502,2.022145263342838e-31
PZ,T3,70.75210831148969,2.1902969037272685e-31
O1,T4,70.5955076983689,2.559850579990435e-31
PZ,P4,69.69721521260965,6.2608719532496715e-31
F3,T5,69.28846696871258,9.405547586784662e-31
Fp2,O2,69.20844289311492,1.0185639443068815e-30
PZ,F7,68.74955373939865,1.608516937205263e-30
F7,O2,67.80005910018589,4.140315172171282e-30
F7,T5,66.00248252856711,2.480045236122156e-29
T6,Fp2,65.92842001092546,2.669884351774421e-29
T6,CZ,64.8986847678846,7.445253489070111e-29
T4,Fp1,64.71327528898563,8.955233244694705e-29
P4,Fp2,64.20586425887798,1.4844250995546297e-28
PZ,F8,63.87027558872913,2.07358322796537e-28
T6,Fp1,63.78035996268689,2.2678594912828783e-28
CZ,FZ,63.718173614254255,2.4127711418038622e-28
PZ,FZ,63.52478107013649,2.9253155821973156e-28
F3,T6,63.077974484967285,4.565133768911698e-28
O1,FZ,63.07425932479832,4.582058655146552e-28
O1,F7,62.95720276811251,5.148707051021656e-28
C3,CZ,61.83130324829372,1.5804119655296619e-27
F3,O1,61.5928569127556,2.0041409828953873e-27
FZ,T5,61.2247534145947,2.891893057351886e-27
P4,Fp1,60.80748195412479,4.382403057787783e-27
F8,F3,60.1722225681794,8.252064865183486e-27
F7,O1,59.73865378086201,1.2710307520907467e-26
FZ,P3,59.61192348535945,1.4420813754663306e-26
P3,Fp2,58.0940044072869,6.543305205876607e-26
FZ,O1,57.33514099947819,1.3937425870574694e-25
T5,O2,57.058600669149904,1.835923632563688e-25
C4,PZ,56.465972479180785,3.313749836446688e-25
C3,T6,56.074205319858784,4.896273078640573e-25
T3,O2,55.7402370187261,6.829691321163925e-25
T5,O1,55.64336863197704,7.521847512091571e-25
F4,T6,55.5750682608255,8.051637977549154e-25
O1,F3,55.34786542503486,1.0097555539286416e-24
O1,F8,54.46529755637688,2.433321436310609e-24
C4,T5,54.28376967432003,2.9158754534790513e-24
PZ,P3,54.10660866497234,3.4789583588935856e-24
T6,P4,54.02535902855156,3.772390463069877e-24
PZ,Fp1,53.90710772299535,4.244239223540552e-24
CZ,F3,53.639637311247576,5.540788892034927e-24
O1,T6,53.12503836522725,9.253707352702261e-24
F8,T6,53.06140299219795,9.859634793261982e-24
P3,T6,52.851554946129646,1.2153348933402943e-23
F3,O2,52.65439383211814,1.4792463393838394e-23
FZ,T6,51.74526651967361,3.6608780492200345e-23
C4,O1,51.1924107559673,6.352101319915935e-23
O1,T3,50.993104077028725,7.748178594385405e-23
P4,T5,50.45382850026353,1.326367085414885e-22
T4,O2,50.442599194531425,1.341297854401151e-22
F8,O2,50.1137619415683,1.8616154361970478e-22
C4,T6,49.59055606245945,1.9324276956201687e-12
C3,P3,49.57560898720428,3.183323947136842e-22
F4,O2,48.99635032932798,5.671226076386044e-22
O2,O1,48.11093509134833,1.3710215788778257e-21
P4,F3,46.523314502256596,6.6758360709198826e-21
CZ,T4,46.152957911453164,9.657948965766917e-21
O1,Fp1,44.772603690095586,3.825306217137995e-20
PZ,Fp2,44.11168238368342,7.394442580978977e-20
O2,F7,44.03658130610382,7.969513427513439e-20
FZ,T3,43.749398756917586,1.0612368306241982e-19
C4,P4,43.45921409486255,4.3961365576856096e-11
CZ,T3,43.38286238237735,1.5295535280170596e-19
O2,T3,43.1353754374353,1.9577490226775908e-19
O2,FZ,42.622499841190276,3.2651308996773443e-19
T3,T5,40.33052388260377,2.1730815303724981e-10
O1,Fp2,39.994818416982156,4.488991469088481e-18
FZ,O2,39.684201988403096,6.119453622833396e-18
C3,O1,37.94323458716744,3.475161967775832e-17
PZ,F3,37.559515734230956,5.096002988270074e-17
C3,O2,36.74718140373654,1.146052458747038e-16
C3,T3,36.47784142842629,1.4993749408265536e-16
O2,F8,34.84352164366702,7.65786212231825e-16
O2,Fp1,33.8727088208891,2.0175418920611935e-15
O2,T5,33.389825884459704,3.26660014096318e-15
O2,Fp2,32.10104590685648,1.1821228239176013e-14
C3,T5,31.9797472936476,1.3342481741345659e-14
CZ,P3,31.430347059321008,2.308692727205212e-14
O2,F3,28.466824120820508,4.4463403794531216e-13
CZ,O1,28.380900351826174,4.844542117870085e-13
P4,T6,28.07548362120557,6.571429979782786e-13
T3,O1,28.038968148683104,6.815388020154789e-13
P3,O2,27.66520804679447,9.897611500160883e-13
P4,O1,26.485793048460916,3.212760317236398e-12
O2,T6,25.012275308268773,1.39891238528785e-11
CZ,P4,24.214559474270178,3.1024290257786555e-11
CZ,T6,22.296236775999493,2.1067325599367915e-10
T6,O2,21.438371013631357,3.6681997094980456e-06
CZ,T5,21.27794306187037,5.824347007073287e-10
PZ,T5,20.31847472320545,1.5184412007779238e-09
P4,O2,20.207236545348362,1.6968638156000228e-09
PZ,O1,17.295205304370345,3.1106085430810226e-08
CZ,O2,14.680985221999139,4.2369477408407253e-07
C4,O2,14.620743823048908,4.4997840788601166e-07
PZ,T6,13.329607931070818,1.6346900425917979e-06
PZ,O2,7.453622464383704,0.0063343546395450015
