Source,Target,F-stat,p-value
P3,PZ,152.60662837647354,6.313819884703121e-67
T3,P4,151.58171136418298,1.7554341601882343e-66
PZ,F8,150.153195927988,7.300723996749916e-66
T6,T3,147.62622749653457,9.085400547064849e-65
C4,T5,145.70735563456617,6.163844100930475e-64
F3,CZ,144.75527665966527,2.5288573155423778e-33
T3,T6,142.5662846589153,1.4158870771739062e-62
C4,T6,142.48906701557303,1.5292959802819264e-62
P3,O2,142.41173502557652,1.6519772732053618e-62
F8,P4,139.85918942823022,2.966971033648841e-32
P4,Fp2,133.42372868216282,7.5576112180320894e-31
PZ,F7,129.0168605801555,1.0553245414471302e-56
F4,P4,126.4238424165456,2.561018728174735e-29
F3,P4,122.76320783525091,1.6174678526603963e-28
PZ,FZ,120.91099825956294,3.4440083287332485e-53
F3,FZ,117.05458536252391,1.6175920208261242e-51
F7,P3,113.73957710636607,1.523464498307133e-26
CZ,O2,112.74344391704233,2.516695541580951e-26
F8,F4,107.67322094999243,1.888942931045398e-47
Fp1,T4,107.11534539619058,3.296913045897622e-47
T4,P3,106.99721483581115,3.709606607095058e-47
PZ,O2,106.77585431730405,4.627091211249791e-47
O1,T3,106.75223628671863,5.156612080648054e-25
F4,PZ,103.49956303805835,1.2187654544784267e-45
F7,C4,98.85278858643849,1.2615357666843852e-43
F8,FZ,96.39232954150938,1.471922895363963e-42
PZ,CZ,95.67343688315205,3.017467008957878e-42
C3,T5,94.83918720116884,6.941133158680533e-42
F4,CZ,94.56778495253407,2.4097131667731556e-22
F8,C3,93.7978326736678,1.9635387956489931e-41
T4,PZ,92.45349146900854,7.007449725774369e-22
T5,C4,87.39902532652647,1.1700287692940468e-38
C3,P3,87.21021137998859,1.4128272496180732e-38
T3,O2,85.85627699806179,1.962829340865092e-20
P3,CZ,84.11876977107416,3.0970245161604604e-37
C4,O1,81.01669601315076,6.86238020645282e-36
F8,O1,80.49246009421516,1.1584286737492342e-35
P4,C4,80.31241800601566,1.3866454819513905e-35
PZ,Fp2,78.66506260494795,7.186908862014973e-35
FZ,P3,77.13663344636367,1.613847946269203e-18
O2,CZ,76.76241372841008,1.9503189725975917e-18
P3,Fp1,74.13528897967151,6.630145937911975e-33
T4,CZ,73.71084154299902,1.0130993193853845e-32
