Source,Target,F-statistic,p-value
Fp1,P4,22.68873933149254,1.423596989844962e-10
PZ,T6,22.34467745101488,2.2881237048924993e-06
P3,T4,21.983275422819787,2.8796449320269e-10
T6,CZ,21.921513584188627,3.062844920209856e-10
T6,PZ,21.783151519679304,3.0650505076395444e-06
O1,T4,21.35300714908285,5.403693464151825e-10
F7,T6,20.938386094765598,4.760743574407603e-06
F3,P4,20.81609255274747,9.237677766435148e-10
C4,T6,20.79822206662562,9.404025118282385e-10
F7,P4,20.025322732173052,2.0349414949555946e-09
F3,T6,19.784209883742665,8.698778001931244e-06
T4,T5,19.775380921859316,2.6119532865723007e-09
T5,F3,19.351731265539243,3.987763299361704e-09
C3,PZ,18.856298335054248,6.540884863915445e-09
T5,F8,18.75851577808469,7.211955850616385e-09
T4,C3,18.57775784001211,8.639005055913803e-09
PZ,P4,18.498047245740075,9.354951238881508e-09
O2,PZ,17.60558792397555,2.725208445111635e-05
Fp2,O1,17.42523552455115,2.9962164655863324e-05
T4,P3,17.295295448383687,3.110328455795387e-08
F4,T5,17.190391526569016,3.390129487822046e-05
PZ,O2,16.800541716825872,4.16237949607514e-05
T3,C3,16.778477023878533,5.212173316761891e-08
P4,T5,16.775424594817004,5.228090693088867e-08
T5,O1,16.46904559651468,7.10008750299821e-08
T4,O1,16.33654245373457,5.3155356507151743e-05
T6,O1,16.20551413201931,5.695927446424677e-05
FZ,F3,16.12150827503506,1.0047167576574758e-07
O2,T6,16.075262303396087,1.0522230815251164e-07
T3,PZ,15.534521732093497,1.8059955332338117e-07
O1,O2,15.157844691874262,2.631168395939931e-07
PZ,T4,15.110732235126019,0.00010158971646909474
O2,T5,15.032034835326927,2.98356607274126e-07
FZ,T5,14.888476653151919,3.4436890768925364e-07
F3,P3,14.501299442083651,5.070123453946514e-07
F4,O1,14.016274676245633,8.231415412454902e-07
T5,PZ,13.963805392433843,8.674445616257429e-07
T6,T3,13.725264110960193,1.1009036404825112e-06
P3,PZ,13.636203276400373,1.2033581007409597e-06
T6,P3,13.284205187138094,1.7105555767259496e-06
Fp1,O1,13.0161742062496,0.0003092824471265519
F7,T4,12.720504683393347,0.0003621958576518529
F8,O1,12.707351371779588,3.0440953646218987e-06
C3,T5,11.965713203753008,6.387036723705578e-06
F8,T5,11.817883659758865,0.0005873911756923651
F3,T4,11.763719976234999,0.0006047256447258446
T3,T6,11.688510334967244,8.42554778293383e-06
F7,O2,11.533414330831924,0.0006843944554148075
T3,P3,11.478451652618272,1.0393443517610693e-05
O1,T6,11.43056508526541,1.0902885493889307e-05
F3,O2,11.35788765023529,0.0007521697825871044
T5,C4,11.250619080597,1.3050755204401379e-05
T6,C3,10.985557243363687,1.7008678958490647e-05
T5,P4,10.28073144266495,3.440085240006872e-05
P3,T6,9.755701747864496,5.813584519692786e-05
F7,O1,9.537350948638414,0.0020150443346248705
T4,C4,9.508812617901688,7.440498826929598e-05
PZ,O1,9.463383044000901,7.786103505263249e-05
C3,T6,9.153785727180747,0.00248401082160899
T6,C4,8.831263036248826,0.002963335667717441
O2,C4,8.744053546613287,0.0001597876890845708
CZ,P3,8.555883273890636,0.00019285036303428625
C4,T5,8.375992014941913,0.00023083673167519412
O1,C3,7.906513413557485,0.0003690567617312695
F3,O1,7.734157842726919,0.005421751237644887
C3,T4,7.642195733685911,0.0004806501857700755
T5,P3,7.581825190747988,0.0005105464230995097
T5,C3,7.3206728537557115,0.0006628258709358095
C3,O2,7.161076797053919,0.00745403953090954
P3,T5,7.013721446331904,0.0009008387355128718
P3,O2,6.800935519393405,0.001114343078277256
T4,P4,6.224459557185436,0.0019827929258838125
CZ,T5,4.808091728577919,0.008169322607599252
T5,O2,4.609936396357572,0.009959063191889599
CZ,O1,4.1541316037254035,0.01570788750682884
T6,P4,4.028699759555049,0.04474079875361172
T4,O2,3.924943231493973,0.0197527650863366
T3,O2,3.802291512310442,0.02232965438935049
O1,T5,3.7895421316257143,0.022616097790493
F4,F8,3.385009320287625,0.033889460217906966
