Source,Target,F-stat,p-value
P3,T6,63.14882458381912,3.9245301458694404e-28
T6,Fp2,61.795629761427485,1.5158932607965893e-27
C3,T3,61.25030777057495,2.613243213080081e-27
O1,C4,60.49197705115526,5.572878802120136e-27
O1,F3,58.87265962882094,2.8081539187997934e-26
F7,T5,58.314946158458355,4.901420197124664e-26
PZ,T5,57.89278506638802,2.7944232256460852e-14
O2,T4,57.48526061370258,1.1225167046463589e-25
Fp1,T5,57.03277688434959,1.7638332889040835e-25
O2,C4,56.652926408334054,2.577621233028773e-25
F3,Fp1,56.24444554239553,3.87615142606403e-25
O1,Fp1,54.092624123818666,3.3250299503501844e-24
T6,F7,53.943698943737914,2.0803035886696843e-13
T3,T5,50.584489209935185,1.1056364791634821e-22
T5,C4,49.474495014729385,3.350798877234266e-22
PZ,P3,48.427098300430714,9.539797513285337e-22
T5,P4,48.19525372512956,3.883864847196094e-12
T3,F3,46.77475668173697,4.970426276140522e-21
T3,F4,44.71243134544959,3.900789408579467e-20
O1,O2,43.920495662905495,8.605019290796623e-20
T3,FZ,43.216566484282644,1.738491491467661e-19
CZ,T3,39.00120539112451,1.1728206121288007e-17
C4,T3,38.84409143514796,1.3721674637089364e-17
T5,F4,38.72530731737683,4.899547522408936e-10
F3,T3,38.40199391532576,2.1342492231236892e-17
PZ,O2,35.45890423810105,4.03997183305346e-16
T5,FZ,34.31311128284507,4.7081406762896975e-09
PZ,T6,34.31282445100215,1.2697959512787642e-15
PZ,F3,33.82345606034977,2.0706431171732363e-15
T5,T4,32.81019872664257,5.699490259878365e-15
F3,Fp2,30.871153067975243,3.9569921984442114e-14
O1,F7,29.513427930320752,5.567225376113463e-08
T3,Fp2,29.019583230955835,2.517468215490274e-13
O2,Fp2,24.959463998333025,1.4561572152940634e-11
P3,Fp2,24.189705229743435,8.744921041625412e-07
P3,O2,22.891247387374005,1.1506739062003129e-10
O1,T4,21.863619202825895,3.2138573363784435e-10
P4,T5,21.74951981772595,3.111071486879816e-06
C3,P4,20.705966529696944,1.0222430785305069e-09
F3,T5,20.593036035571835,1.1443979413869344e-09
CZ,C4,19.573074767626398,3.1720907257897165e-09
P3,Fp1,19.460970667450056,1.0279379977866184e-05
P3,T3,19.172766098627193,4.732859496663567e-09
O2,F7,18.50594265718339,1.6955131248924197e-05
P3,PZ,17.09718493140681,3.7685882127748086e-08
T3,Fp1,16.615777328721485,6.097812801684306e-08
O2,C3,15.100595841053284,2.773194089696456e-07
T6,CZ,13.295949681472491,0.00026612795494996324
T6,C4,13.193568061353446,0.00028106548086767147
PZ,Fp1,12.672762729017297,0.0003712094441836314
T3,CZ,12.671158713682452,3.1459382004108558e-06
T6,F4,11.450073891335032,1.0664005326020058e-05
PZ,Fp2,11.10073350788538,1.5121659196188517e-05
O2,F3,9.89241694338958,0.0016601453092093903
T6,FZ,8.667106275484525,0.00017229840935272905
O2,P4,7.982854470759479,0.0003415024348727977
C4,CZ,7.610943843696969,0.0004953189264565898
O1,P4,7.16372113110047,0.0074406007370534
O2,Fp1,6.105466788334381,0.002231551808164367
C4,T5,3.590158009329221,0.027597870181934835
